MPS UAI,PPS UAI,Asset Name,Catalogue Code,Specification,USD / Kit,Identity Status
CERT-MPS-000001,CERT-PPS-000001,AICAR Supplier Product Family,AR50,50 mg x 10 vials,63,CRITICAL IDENTITY GAP
CERT-MPS-000001,CERT-PPS-000001,AICAR Supplier Product Family,AR100,100 mg x 10 vials,99,CRITICAL IDENTITY GAP
CERT-MPS-000002,CERT-PPS-000002,Melatonin Supplier Vial Family,MT10,10 mg x 10 vials,56,UNVERIFIED SUPPLIER PRODUCT
CERT-MPS-000003,CERT-PPS-000003,Glutathione Supplier Vial Family,GTT,"1,500 mg x 10 vials",108,UNVERIFIED SUPPLIER PRODUCT
CERT-MPS-000004,CERT-PPS-000004,5-Amino-1MQ Supplier Product Family,5AM,5 mg x 10 vials,32,UNVERIFIED SUPPLIER PRODUCT
CERT-MPS-000004,CERT-PPS-000004,5-Amino-1MQ Supplier Product Family,10AM,10 mg x 10 vials,42,UNVERIFIED SUPPLIER PRODUCT
CERT-MPS-000004,CERT-PPS-000004,5-Amino-1MQ Supplier Product Family,50AM,50 mg x 10 vials,65,UNVERIFIED SUPPLIER PRODUCT
CERT-MPS-000005,CERT-PPS-000005,NAD Supplier Product Family,NJ3100,100 mg x 10 vials,37,CRITICAL IDENTITY GAP
CERT-MPS-000005,CERT-PPS-000005,NAD Supplier Product Family,NJ250,250 mg x 10 vials,56,CRITICAL IDENTITY GAP
CERT-MPS-000005,CERT-PPS-000005,NAD Supplier Product Family,NJ500,500 mg x 10 vials,78,CRITICAL IDENTITY GAP
CERT-MPS-000005,CERT-PPS-000005,NAD Supplier Product Family,NJ1000,"1,000 mg x 10 vials",126,CRITICAL IDENTITY GAP
CERT-MPS-000006,CERT-PPS-000006,SLU-PP-322 Identity-Candidate Product Family,SLU5,5 mg x 10 vials,121,CRITICAL IDENTITY GAP
