Asset UAI,Asset Name,Catalogue Code,Specification,USD / Kit,Identity Status
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA2,2 mg x 10 vials,54,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA5,5 mg x 10 vials,99,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000051,Thymosin Alpha-1 / Thymalfasin,TA10,10 mg x 10 vials,197,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000052,Thymalin Product Family,TY10,10 mg x 10 vials,76,MIXTURE IDENTITY GAP
CERT-PKS-000053,LL-37,375,5 mg x 10 vials,98,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000054,Cibinetide / ARA-290,RA10,10 mg x 10 vials,76,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,VP5,5 mg x 10 vials,95,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000055,Vasoactive Intestinal Peptide / Aviptadil,VP10,10 mg x 10 vials,160,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000056,KPV,KP5,5 mg x 10 vials,39,UNVERIFIED SUPPLIER PRODUCT
CERT-PKS-000056,KPV,KP10,10 mg x 10 vials,59,UNVERIFIED SUPPLIER PRODUCT
