Preliminary Canonical Name,SKU Count,Minimum USD,Maximum USD,Existing UAI,Review Segment
Somatropin,6,46,192,,"C3 - GH, IGF and endocrine"
Melanotan I / afamelanotide identity candidate,1,51,51,,C7 - Pigmentation and sexual-health peptides
Melanotan II,1,51,51,CERT-PKS-000009,Existing assets
Bremelanotide,1,66,66,,C7 - Pigmentation and sexual-health peptides
Gonadorelin acetate,1,33,33,,"C3 - GH, IGF and endocrine"
Delta sleep-inducing peptide,4,27,99,,C4 - Neurocognitive and sleep peptides
Selank,3,41,145,,C4 - Neurocognitive and sleep peptides
Oxytocin acetate,3,27,56,,"C3 - GH, IGF and endocrine"
Epitalon,3,51,185,CERT-PKS-000010,Existing assets
BPC-157,4,26,115,CERT-PKS-000002,Existing assets
BPC-157 + TB-500 blend,3,66,230,,C8 - Blends and supplier combinations
ACE-031,1,81,81,,"C3 - GH, IGF and endocrine"
AICAR,2,63,99,,C9 - Non-peptide and ancillary catalogue items
Adipotide,2,95,204,,C2 - Metabolic and incretin-related
Semax,3,41,135,,C4 - Neurocognitive and sleep peptides
Semaglutide,6,27,108,,C2 - Metabolic and incretin-related
Elamipretide,2,85,360,,C6 - Mitochondrial and longevity research
Tirzepatide,9,35,301,,C2 - Metabolic and incretin-related
GHRP-2 acetate,2,27,54,,"C3 - GH, IGF and endocrine"
GHRP-6 acetate,2,27,54,,"C3 - GH, IGF and endocrine"
Modified GRF (1-29) identity candidate,3,42,180,,"C3 - GH, IGF and endocrine"
Modified GRF (1-29) + Ipamorelin blend,2,107,201,,C8 - Blends and supplier combinations
CJC-1295 with DAC,3,92,366,CERT-PKS-000004,Existing assets
Thymosin beta-4 / TB-500 full-length candidate,4,46,310,CERT-PKS-000008,Existing assets
TB-500 fragment,1,85,85,CERT-PKS-000008,Existing assets
Mechano growth factor,1,38,38,,"C3 - GH, IGF and endocrine"
PEG-MGF,1,95,95,,"C3 - GH, IGF and endocrine"
Sermorelin acetate,4,49,239,,"C3 - GH, IGF and endocrine"
Human chorionic gonadotropin,3,55,163,,"C3 - GH, IGF and endocrine"
AOD9604,3,53,197,,C2 - Metabolic and incretin-related
Long R3 IGF-1,2,45,225,,"C3 - GH, IGF and endocrine"
Tesamorelin,4,56,390,CERT-PKS-000003,Existing assets
Ipamorelin,3,26,66,CERT-PKS-000005,Existing assets
Hexarelin acetate,2,54,85,,"C3 - GH, IGF and endocrine"
GHK-Cu,2,28,43,CERT-PKS-000007,Existing assets
GHK,1,37,37,,"C5 - Repair, immune and cosmetic peptides"
AHK-Cu,1,75,75,,"C5 - Repair, immune and cosmetic peptides"
