Asset UAI,Asset Name,Jurisdiction,Authority,Position,Monitoring,Status Date
CERT-PKS-000068,Bronchogen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000068,Bronchogen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000068,Bronchogen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000068,Bronchogen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000068,Bronchogen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000069,Cardiogen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000069,Cardiogen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000069,Cardiogen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000069,Cardiogen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000069,Cardiogen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000070,Cortagen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000070,Cortagen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000070,Cortagen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000070,Cortagen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000070,Cortagen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000071,Livagen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000071,Livagen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000071,Livagen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000071,Livagen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000071,Livagen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000072,Pancragen,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000072,Pancragen,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000072,Pancragen,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000072,Pancragen,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000072,Pancragen,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
CERT-PKS-000073,Prostamax,United States,FDA,No approval claim is created; exact molecule and official product-database status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000073,Prostamax,United Kingdom,MHRA,No marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000073,Prostamax,European Union,EMA / European Commission,No central marketing-authorisation claim is created; exact molecule and product status require direct verification.,ACTIVE,2026-07-16
CERT-PKS-000073,Prostamax,Other jurisdictions,National medicines authorities,"Any regional status must be verified by exact product, manufacturer, formulation, indication and date.",ACTIVE,2026-07-16
CERT-PKS-000073,Prostamax,International sport,WADA,Current athlete-specific status requires authoritative verification after exact identity closure.,BLOCKED BY IDENTITY,2026-07-16
