Asset UAI,Asset Name,Code,Specification,USD / Kit,USD / Vial,Source,Quality Status
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,BB4,BPC 2 mg + TB 2 mg; 4 mg x 10 vials,66,6.6,Peptides.pdf,UNVERIFIED
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,BB10,BPC 5 mg + TB 5 mg; 10 mg x 10 vials,116,11.6,Peptides.pdf,UNVERIFIED
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,BB20,BPC 10 mg + TB 10 mg; 20 mg x 10 vials,230,23.0,Peptides.pdf,UNVERIFIED
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,BBG70,BPC-157 10 mg + GHK-Cu 50 mg + TB-500 10 mg; 70 mg x 10 vials,219,21.9,Peptides.pdf,UNVERIFIED
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,KL80,BPC-157 10 mg + GHK-Cu 50 mg + TB-500 10 mg + KPV 10 mg; 80 mg x 10 vials,252,25.2,Peptides.pdf,UNVERIFIED
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,CS10,Cagrilintide 5 mg + Semaglutide 5 mg; 10 mg x 10 vials,135,13.5,Peptides.pdf,UNVERIFIED
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,RC10,Retatrutide 5 mg + Cagrilintide 5 mg; 10 mg x 10 vials,165,16.5,Peptides.pdf,UNVERIFIED
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,TI18,Tesamorelin 12 mg + Ipamorelin 6 mg; 18 mg x 10 vials,280,28.0,Peptides.pdf,UNVERIFIED
CERT-PKS-000087,Semax + Selank Supplier Blend,XS20,Semax 10 mg + Selank 10 mg; 20 mg x 10 vials,112,11.2,Peptides.pdf,UNVERIFIED
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,CP10,CJC-1295 without DAC 5 mg + Ipamorelin 5 mg; 10 mg x 10 vials,107,10.7,Peptides.pdf,UNVERIFIED
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,CP20,CJC-1295 without DAC 10 mg + Ipamorelin 10 mg; 20 mg x 10 vials,201,20.1,Peptides.pdf,UNVERIFIED
