UAI,Asset Name,System,Catalogue Codes,Baseline Closure Priority,Dedicated Closure Wave Applied,Product Passport,Canonical Identity Closure /5,Human Evidence Maturity /5,Regulatory Status Closure /5,Safety Source Closure /5,Supplier Evidence Availability /5,Analytical Verification Feasibility /5,Commercial Boundary Readiness /5,Weighted Readiness Score /100,Readiness Tier,Tier Name,Weakest Dimensions,Critical Quarantine,Direct Sale Gate,Platinum Certified,Recommended Next Action,Current Regulatory Headline,Current Closure Class
CERT-PKS-000003,Tesamorelin,PKS,TSM10; TSM2; TSM20; TSM5,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000011,Semaglutide,PKS,SM10; SM15; SM2; SM20; SM30; SM5,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000012,Tirzepatide,PKS,TR10; TR100; TR15; TR20; TR30; TR40; TR5; TR50; TR60,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000016,Liraglutide,PKS,LL10; LL30; LL5,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS,EVIDENCE AND REGULATORY CLOSURE
CERT-PKS-000035,Teriparatide,PKS,TER10,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",AUTHORISED OSTEOPOROSIS MEDICINE CONTEXTS EXIST / PRODUCT-SPECIFIC,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000079,Afamelanotide / Melanotan I,PKS,MT1,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",AUTHORISED SCENESSE IMPLANT CONTEXTS EXIST FOR EPP — CATALOGUE POWDER IS NOT AN AUTHORISED-PRODUCT EQUIVALENT,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000080,Bremelanotide / PT-141,PKS,P41,P2,NO,,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",UNITED STATES AUTHORISED VYLEESI CONTEXT EXISTS FOR DEFINED PREMENOPAUSAL HSDD — CATALOGUE POWDER IS NOT AN AUTHORISED-PRODUCT EQUIVALENT,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000089,Elamipretide / SS-31,PKS,2S10; 2S50,P1,YES,CERT-PPS-000031,5,5,5,5,2,4,5,92,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",FDA-APPROVED FORZINITY CONTEXT EXISTS / SUPPLIER POWDER NON-EQUIVALENT,AUTHORISED-PRODUCT EQUIVALENCE / SUPPLIER POWDER
CERT-PKS-000020,Somatropin,PKS,H06; H10; H12; H15; H24; H36,P2,NO,,5,5,5,5,2,3,5,90,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",AUTHORISED MEDICINE CONTEXTS EXIST / PRODUCT- AND INDICATION-SPECIFIC,AUTHORISED-PRODUCT EQUIVALENCE BOUNDARY
CERT-PKS-000001,Retatrutide,PKS,RT10; RT15; RT20; RT30; RT40; RT5; RT50; RT60,P2,NO,,4,4,4,4,2,4,4,76,T1,Primary-Source Closure Candidate,Supplier Evidence,NO,BLOCKED,NO,"Prioritise full primary-source extraction, authorised/clinical product mapping, complete safety-source closure and supplier Product Passport evidence request.",,EVIDENCE AND REGULATORY CLOSURE
