Asset UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Source,Quality Status
CERT-PKS-000020,Somatropin,H06,6 IU x 10 vials,46,Peptides.pdf,UNVERIFIED
CERT-PKS-000020,Somatropin,H10,10 IU x 10 vials,56,Peptides.pdf,UNVERIFIED
CERT-PKS-000020,Somatropin,H12,12 IU x 10 vials,67,Peptides.pdf,UNVERIFIED
CERT-PKS-000020,Somatropin,H15,15 IU x 10 vials,85,Peptides.pdf,UNVERIFIED
CERT-PKS-000020,Somatropin,H24,24 IU x 10 vials,126,Peptides.pdf,UNVERIFIED
CERT-PKS-000020,Somatropin,H36,36 IU x 10 vials,192,Peptides.pdf,UNVERIFIED
CERT-PKS-000021,Sermorelin,SMO2,2 mg x 10 vials,49,Peptides.pdf,UNVERIFIED
CERT-PKS-000021,Sermorelin,SMO5,5 mg x 10 vials,76,Peptides.pdf,UNVERIFIED
CERT-PKS-000021,Sermorelin,SMO10,10 mg x 10 vials,153,Peptides.pdf,UNVERIFIED
CERT-PKS-000021,Sermorelin,SMO15,15 mg x 10 vials,239,Peptides.pdf,UNVERIFIED
CERT-PKS-000022,Modified GRF (1-29),CND2,2 mg x 10 vials,42,Peptides.pdf,UNVERIFIED
CERT-PKS-000022,Modified GRF (1-29),CND5,5 mg x 10 vials,91,Peptides.pdf,UNVERIFIED
CERT-PKS-000022,Modified GRF (1-29),CND10,10 mg x 10 vials,180,Peptides.pdf,UNVERIFIED
CERT-PKS-000023,GHRP-2 / Pralmorelin,G25,5 mg x 10 vials,27,Peptides.pdf,UNVERIFIED
CERT-PKS-000023,GHRP-2 / Pralmorelin,G210,10 mg x 10 vials,54,Peptides.pdf,UNVERIFIED
CERT-PKS-000024,GHRP-6,G65,5 mg x 10 vials,27,Peptides.pdf,UNVERIFIED
CERT-PKS-000024,GHRP-6,G610,10 mg x 10 vials,54,Peptides.pdf,UNVERIFIED
CERT-PKS-000025,Hexarelin / Examorelin,HX2,2 mg x 10 vials,54,Peptides.pdf,UNVERIFIED
CERT-PKS-000025,Hexarelin / Examorelin,HX5,5 mg x 10 vials,85,Peptides.pdf,UNVERIFIED
