Source ID,Evidence ID,Title,Journal,Year,DOI,Closure State
SRC-0019-001,CERT-EKS-000037,A tripeptide in human serum which prolongs survival of normal liver cells and stimulates growth in neoplastic liver,Nature,1973,,FOUNDATIONAL PRIMARY PUBLICATION IDENTITY CONFIRMED
SRC-0019-002,CERT-EKS-000037,Growth-modulating serum tripeptide is glycyl-histidyl-lysine,Experientia,1977,,PRIMARY PUBLICATION IDENTITY CONFIRMED
SRC-0019-003,CERT-EKS-000037,Growth-modulating plasma tripeptide may function by facilitating copper uptake into cells,Nature,1980,,PRIMARY PUBLICATION IDENTITY CONFIRMED
SRC-0019-004,CERT-EKS-000038,Stimulation of collagen synthesis in fibroblast cultures by the tripeptide-copper complex glycyl-L-histidyl-L-lysine-Cu2+,FEBS Letters,1988,,PRIMARY PUBLICATION IDENTITY CONFIRMED — FULL EXTRACTION OPEN
SRC-0019-005,CERT-EKS-000038,The effect of topical tripeptide-copper complex on healing of ischemic open wounds,Veterinary Surgery,2003,,PRIMARY ANIMAL PUBLICATION IDENTITY CONFIRMED — FULL EXTRACTION OPEN
SRC-0019-006,CERT-EKS-000038,A therapeutic approach for diabetic wound healing using biotinylated GHK incorporated collagen matrices,Life Sciences,2007,,PRIMARY ANIMAL PUBLICATION IDENTITY CONFIRMED — FULL EXTRACTION OPEN
SRC-0019-007,CERT-EKS-000040,Complete amino acid sequence of bovine thymosin beta 4: a thymic hormone that induces terminal deoxynucleotidyl transferase activity in thymocyte populations,PNAS,1981,,PRIMARY STRUCTURE PUBLICATION IDENTITY CONFIRMED
SRC-0019-008,CERT-EKS-000040,The actin binding site of thymosin beta 4 mapped by mutational analysis,EMBO Journal,1996,,PRIMARY MECHANISTIC PUBLICATION IDENTITY CONFIRMED
SRC-0019-009,CERT-EKS-000041,Thymosin beta 4 promotes dermal healing,Clinical / translational publication,,,PRIMARY HUMAN CLINICAL PUBLICATION IDENTITY REQUIRES DIRECT CAPTURE
SRC-0019-010,CERT-EKS-000042,"Synthesis and characterization of the N-terminal acetylated 17-23 fragment of thymosin beta 4 identified in TB-500, a product suspected to possess doping potential",Drug Testing and Analysis,2012,,PRIMARY ANALYTICAL PUBLICATION IDENTITY CONFIRMED
SRC-0019-011,CERT-EKS-000042,"Doping control analysis of TB-500, a synthetic version of an active region of thymosin beta 4, in equine urine and plasma by liquid chromatography-mass spectrometry",Journal of Chromatography A,2012,,PRIMARY ANALYTICAL PUBLICATION IDENTITY CONFIRMED
SRC-0019-012,CERT-EKS-000043,"Evaluation of melanotan-II, a superpotent cyclic melanotropic peptide in a pilot phase-I clinical study",Life Sciences,1996,10.1016/0024-3205(96)00160-9,PRIMARY PUBLICATION IDENTITY AND PHASE-I DESIGN CONFIRMED
SRC-0019-013,CERT-EKS-000043,"Synthetic melanotropic peptide initiates erections in men with psychogenic erectile dysfunction: double-blind, placebo controlled crossover study",Journal of Urology,1998,10.1016/S0022-5347(01)62903-3,PRIMARY PUBLICATION IDENTITY AND DESIGN CONFIRMED
SRC-0019-014,CERT-EKS-000043,"Melanocortin receptor agonists, penile erection, and sexual motivation: human studies with Melanotan II",International Journal of Impotence Research,2000,10.1038/sj.ijir.3900582,PRIMARY HUMAN PUBLICATION IDENTITY CONFIRMED
SRC-0019-015,CERT-EKS-000046,Epithalon peptide induces telomerase activity and telomere elongation in human somatic cells,Bulletin of Experimental Biology and Medicine,2003,,PRIMARY IN-VITRO PUBLICATION IDENTITY CONFIRMED
SRC-0019-016,CERT-EKS-000046,Peptide promotes overcoming of the division limit in human somatic cells,Bulletin of Experimental Biology and Medicine,2004,,PRIMARY IN-VITRO PUBLICATION IDENTITY CONFIRMED
SRC-0019-017,CERT-EKS-000047,Effect of Ala-Glu-Asp-Gly peptide on life span and development of spontaneous tumors in female rats exposed to different illumination regimes,Bulletin of Experimental Biology and Medicine,2007,,PRIMARY ANIMAL PUBLICATION IDENTITY CONFIRMED
SRC-0019-018,CERT-EKS-000048,Pineal-regulating tetrapeptide epitalon improves eye retina condition in retinitis pigmentosa,Neuro Endocrinology Letters,2002,,PRIMARY HUMAN PUBLICATION IDENTITY CONFIRMED — DIRECT METHODS OPEN
