Parent UAI,Asset Name,Source Title,Source Type,Date / Current State,URL,Use
CERT-PKS-000020,Somatropin,GENOTROPIN current United States prescribing information,Authoritative current biological-product label,Updated 2026-04-30,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ffebf88b-d257-4542-9808-74d9b7167765,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000020,Somatropin,Four-year randomised daily versus three-times-weekly somatropin trial,Randomised paediatric human evidence,Published 1996,https://pubmed.ncbi.nlm.nih.gov/8626839/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000020,Somatropin,Two-year placebo-controlled somatropin dose-response study in young adults,Randomised adult human evidence,Published 2003,https://pubmed.ncbi.nlm.nih.gov/14602761/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000020,Somatropin,WADA 2026 Prohibited List,Current anti-doping control,In force from 2026-01-01,https://www.wada-ama.org/en/resources/world-anti-doping-program/prohibited-list,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000001,Retatrutide,Retatrutide phase 2 obesity trial,Primary randomised phase 2 human evidence,Published 2023,https://pubmed.ncbi.nlm.nih.gov/37366315/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000001,Retatrutide,TRANSCEND-T2D-1 phase 3 trial,Primary randomised phase 3 human evidence,Published 2026-06,https://pubmed.ncbi.nlm.nih.gov/42250575/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000001,Retatrutide,TRIUMPH-1 phase 3 registry,Current authoritative trial registry,Completed 2026-04; last update 2026-06-03,https://clinicaltrials.gov/study/NCT05929066,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000001,Retatrutide,TRIUMPH-3 cardiovascular-disease registry,Current authoritative trial registry,"Active, not recruiting; last update 2026-05-22",https://clinicaltrials.gov/study/NCT05882045,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000001,Retatrutide,TRIUMPH-5 retatrutide-versus-tirzepatide registry,Current authoritative trial registry,"Active, not recruiting; last update 2026-04-13",https://clinicaltrials.gov/study/NCT06662383,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000013,Cagrilintide,Cagrilintide phase 2 dose-finding trial,Primary randomised phase 2 human evidence,Published 2021,https://pubmed.ncbi.nlm.nih.gov/34798060/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000013,Cagrilintide,REDEFINE 1 phase 3 publication,Primary randomised phase 3 evidence including cagrilintide arm,Published 2025,https://pubmed.ncbi.nlm.nih.gov/40544433/,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000013,Cagrilintide,REDEFINE 1 registry,Current authoritative trial registry,Active extension; last update 2026-05-05,https://clinicaltrials.gov/study/NCT05567796,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000013,Cagrilintide,Novo Nordisk Annual Report 2025 pipeline,Official sponsor development and submission record,Published 2026,https://annualreport.novonordisk.com/2025/strategic-aspirations/innovation-and-therapeutic-focus.html,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
CERT-PKS-000013,Cagrilintide,CagriSema FDA submission and expected decision,Official sponsor regulatory update,Published 2026-06-07; decision expected Q4 2026,https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=916567,"Product identity, regulatory status, pivotal human evidence, safety or living-evidence closure with supplier non-equivalence"
