claim_id,domain,claim,status,certainty,evidence_ids,public_wording,limitations,last_review,next_review
RET-CLM-MECH-001,mechanism,"Retatrutide is a single peptide agonist at GIP, GLP-1 and glucagon receptors.",SUPPORTED,HIGH,RET-EVD-0001|RET-EVD-0011,Retatrutide is being studied as a triple hormone-receptor agonist.,Mechanistic activity does not itself establish clinical benefit or approval.,2026-07-20,2026-10-20
RET-CLM-MECH-002,mechanism,"Structural studies describe retatrutide engagement of GLP-1R, GIPR and GCGR.",SUPPORTED,MODERATE,RET-EVD-0011,Laboratory structural studies support activity at all three target receptors.,Structural evidence is not clinical-outcome evidence.,2026-07-20,2026-10-20
RET-CLM-OBE-001,obesity efficacy,"In the phase 2 obesity trial, the 12 mg group had approximately 24.2% mean weight reduction at 48 weeks.",SUPPORTED,HIGH_FOR_TRIAL_POPULATION,RET-EVD-0003,A phase 2 trial reported substantial average weight reduction at the highest studied dose.,"Trial estimate, not a guarantee; retatrutide remains investigational.",2026-07-20,2026-10-20
RET-CLM-OBE-002,obesity efficacy,TRIUMPH-1 sponsor topline results reported 28.3% mean weight reduction at 80 weeks at 12 mg.,CONDITIONAL,MODERATE_PENDING_PEER_REVIEW,RET-EVD-0008|RET-EVD-0009,Sponsor-reported phase 3 topline results were positive; full peer-reviewed publication and regulator review remain outstanding.,"Topline sponsor disclosure, not yet a full peer-reviewed trial report in this baseline.",2026-07-20,2026-08-20
RET-CLM-T2D-001,type 2 diabetes,Early phase evidence supported dose escalation into later type 2 diabetes trials.,SUPPORTED,MODERATE,RET-EVD-0002,Early clinical testing supported continued development in type 2 diabetes.,Short early-phase study.,2026-07-20,2026-10-20
RET-CLM-T2D-002,type 2 diabetes,Phase 2 retatrutide improved HbA1c and bodyweight compared with controls.,SUPPORTED,HIGH_FOR_TRIAL_POPULATION,RET-EVD-0004,A phase 2 trial reported improved glucose control and bodyweight outcomes.,Selected trial population and 36-week duration.,2026-07-20,2026-10-20
RET-CLM-T2D-003,type 2 diabetes,TRANSCEND-T2D-1 phase 3 results support glycaemic and weight efficacy in adults with type 2 diabetes.,SUPPORTED,HIGH_FOR_TRIAL_POPULATION,RET-EVD-0007,A published phase 3 trial reported improvements in glucose control and bodyweight.,Dedicated long-term outcome trials remain relevant.,2026-07-20,2026-10-20
RET-CLM-LIVER-001,liver,A phase 2a substudy reported substantial liver-fat reductions at higher doses.,SUPPORTED,MODERATE,RET-EVD-0005,A substudy reported reductions in liver fat.,Imaging endpoint; clinical liver-outcome benefit is not established.,2026-07-20,2026-10-20
RET-CLM-BODY-001,body composition,A DXA substudy found higher-dose retatrutide reduced total fat mass and did not show a disproportionate lean-mass loss relative to other obesity treatments.,SUPPORTED,MODERATE,RET-EVD-0006,A body-composition substudy reported substantial fat-mass reduction.,Substudy attrition and secondary endpoint design.,2026-07-20,2026-10-20
RET-CLM-SAF-001,safety,Gastrointestinal adverse events are the most consistently reported tolerability issue across clinical trials.,SUPPORTED,HIGH,RET-EVD-0002|RET-EVD-0003|RET-EVD-0004|RET-EVD-0006|RET-EVD-0007,Gastrointestinal side effects have been common in trials.,"Frequency and severity depend on dose, escalation and study population.",2026-07-20,2026-10-20
RET-CLM-SAF-002,safety,Dose-dependent heart-rate increases were observed in the phase 2 obesity trial.,SUPPORTED,MODERATE,RET-EVD-0003,Heart-rate increases were observed in a phase 2 trial and require continued safety evaluation.,Long-term clinical significance remains under investigation.,2026-07-20,2026-10-20
RET-CLM-SAF-003,safety,"Products sold as retatrutide outside authorised trials cannot be assumed to be authentic, pure or correctly dosed.",SUPPORTED_AS_RISK_WARNING,HIGH,RET-EVD-0012,Do not use products claiming to be retatrutide outside authorised clinical trials.,Official sponsor warning; jurisdiction-specific enforcement and regulator notices require surveillance.,2026-07-20,2026-10-20
RET-CLM-REG-001,regulatory,Retatrutide is investigational and not approved for public use as of the baseline date.,SUPPORTED,HIGH_AS_OF_DATE,RET-EVD-0012,Retatrutide remains investigational and is not approved for public use.,Time-sensitive status; regulator databases must be checked at every public-release review.,2026-07-20,2026-08-20
RET-CLM-DEV-001,development,The development programme progressed from translational discovery into phase 2 and phase 3 trials.,SUPPORTED,HIGH,RET-EVD-0001|RET-EVD-0003|RET-EVD-0007|RET-EVD-0009,Retatrutide has progressed through a multi-stage clinical development programme.,Development progress is not regulatory approval.,2026-07-20,2026-10-20
RET-CLM-DEV-002,development,The TRIUMPH programme evaluates obesity and selected obesity-related conditions under registrational designs.,SUPPORTED,HIGH,RET-EVD-0009,The phase 3 programme includes obesity and related conditions.,Protocol design does not establish final benefit.,2026-07-20,2026-10-20
RET-CLM-DEV-003,development,TRIUMPH-3 evaluates retatrutide in a cardiovascular-disease population over an extended follow-up period.,SUPPORTED_AS_PROTOCOL,HIGH,RET-EVD-0010,A phase 3 trial is evaluating retatrutide in people with cardiovascular disease.,Registry protocol; final results are not represented by this claim.,2026-07-20,2026-10-20
