Final UAI,Asset Name,System,Created / Finalised In Build,Source Catalogue Codes,Current Status,Regulatory Headline,Closure Priority,Closure Class,Next Closure Action,Platinum Certified
CERT-MPS-000001,AICAR Supplier Product Family,MPS,0028A,AR100; AR50,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,CHEMICAL FORM AMBIGUOUS / NO CURRENT GENERAL THERAPEUTIC APPROVAL CLAIM / CURRENT ANTI-DOPING CONTROL REQUIRED,P1,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",NO
CERT-MPS-000002,Melatonin Supplier Vial Family,MPS,0028A,MT10,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,AUTHORISED ORAL MEDICINE CONTEXTS EXIST / SUPPLIER VIAL ROUTE AND PRODUCT IDENTITY UNRESOLVED,P1,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",NO
CERT-MPS-000003,Glutathione Supplier Vial Family,MPS,0028A,GTT,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,REDOX FORM AND ROUTE UNRESOLVED / STERILE-INJECTION AND ENDOTOXIN CONTROLS CRITICAL,P1,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",NO
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,MPS,0028A,10AM; 50AM; 5AM,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,PRECLINICAL RESEARCH COMPOUND / NO HUMAN APPROVAL OR VALIDATED WEIGHT-LOSS CLAIM,P1,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",NO
CERT-MPS-000005,NAD Supplier Product Family,MPS,0028A,NJ1000; NJ250; NJ3100; NJ500,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,NAD+ / NADH / SALT AND ROUTE UNRESOLVED / UNAPPROVED INJECTABLE-PRODUCT CONTROLS APPLY,P1,PRODUCT PASSPORT OPEN,"Complete PPS identity, grade, route, quality and legal fields.",NO
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,MPS,0028A,SLU5,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,POSSIBLE TYPO / CHEMICAL IDENTITY UNRESOLVED / NO PHARMACOLOGY OR HUMAN-USE CLAIM,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-MPS-000007,Bacteriostatic Water Supplier Family,MPS,0028B,BA03; BA05; BA10; WA10,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,DILUENT IDENTITY AND STERILITY UNVERIFIED / NO AUTHORISED-PRODUCT EQUIVALENCE,P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-MPS-000008,Acetic Acid Water Supplier Family,MPS,0028B,AA10,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,"CONCENTRATION, PH AND STERILE-DILUENT IDENTITY UNRESOLVED",P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-MPS-000009,Botulinum Toxin Supplier Product Family,MPS,0028B,XT100,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,"SEROTYPE, BRAND AND POTENCY SYSTEM UNRESOLVED / UNBRANDED PRODUCT NOT AUTHORISED-PRODUCT EQUIVALENT",P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,MPS,0028B,HA5,CATALOGUE REVIEWED / PRODUCT PASSPORT GAP ACTIVE / NOT QUALITY VERIFIED,"MOLECULAR WEIGHT, CROSSLINKING, ROUTE AND DEVICE STATUS UNRESOLVED",P0,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",NO
