Catalogue Listed Name,Preliminary Canonical Name,Catalogue Codes,Identity Status,Issue / Next Action
MT-1,Melanotan I / afamelanotide identity candidate,MT1,IDENTITY VERIFICATION REQUIRED,Supplier shorthand MT-1 must be checked against afamelanotide / Melanotan I identity.
DSIP,Delta sleep-inducing peptide,DS2; DS5; DS10; DS15,IDENTITY / EVIDENCE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
BPC + TB,BPC-157 + TB-500 blend,BB4; BB10; BB20,BLEND - COMPONENT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
CJC-1295 Without DAC,Modified GRF (1-29) identity candidate,CND2; CND5; CND10,IDENTITY CORRECTION REQUIRED,Catalogue naming commonly conflates modified GRF (1-29) with CJC-1295. Must not inherit CERT-PKS-000004 automatically.
CJC-1295 without DAC + IPA,Modified GRF (1-29) + Ipamorelin blend,CP10; CP20,BLEND / CJC NOMENCLATURE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
TB500 (Thymosin B4 Acetate),Thymosin beta-4 / TB-500 full-length candidate,BT2; BT5; BT10; BT20,SEQUENCE / FULL-LENGTH IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
TB500 (Frag),TB-500 fragment,B10F,FRAGMENT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
MGF,Mechano growth factor,FM2,SEQUENCE / PRODUCT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
PEG MGF,PEG-MGF,FMP2,SEQUENCE / PEGYLATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
GHK basic,GHK,GH50,FREE PEPTIDE / COPPER-FREE IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Thymalin,Thymalin,TY10,COMPOSITION / EXTRACT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
FOXO4,FOXO4-DRI identity candidate,F410,IDENTITY / SEQUENCE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
LL37,LL-37,375,CATALOGUE CODE AND SEQUENCE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
"GLP-1, 5mg/vial",Native GLP-1 identity candidate,GP,EXACT SEQUENCE / FORM VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Insulin,Insulin,ISU,TYPE / CONCENTRATION / FORMULATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Acetic acid water,Acetic acid water,AA10,CONCENTRATION / STERILITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Botulinum toxin,Botulinum toxin,XT100,TOXIN TYPE / BRAND / POTENCY UNIT VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
cerebrolysin,Cerebrolysin,CBL60,BRAND / COMPOSITION / AUTHORISATION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
cerebrolysin (No Brand),Cerebrolysin-type unbranded product,C60,HIGH-RISK IDENTITY / COMPOSITION VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
hyaluronic acid,Hyaluronic acid,HA5,MOLECULAR WEIGHT / FORMULATION / INTENDED ROUTE VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
Ara-290,Cibinetide,RA10,ARA-290 / CIBINETIDE IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
snap-8,Acetyl octapeptide-3,NP810,SNAP-8 / ACETYL OCTAPEPTIDE-3 IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
NAD,NAD identity candidate,NJ3100; NJ250; NJ500; NJ1000,NAD+ / NADH / SALT FORM VERIFICATION REQUIRED,Catalogue code is printed as NJ3100 for the 100 mg entry; user shorthand has previously used NJ100.
BPC 157 10mg + GHK-CU 50mg + TB500 10mg,BPC-157 + GHK-Cu + TB-500 blend,BBG70,BLEND / COMPONENT IDENTITY VERIFICATION REQUIRED,"Confirm exact sequence, form, composition, route and product identity before UAI allocation."
