finding_code,automatic_action,proposed_passport_state,proposed_marketplace_state,human_approval_for_positive_restoration
PASSPORT_EXPIRED,AUTO_EXPIRE,EXPIRED,REMOVED,Yes
UPSTREAM_REVIEW_EXPIRED,AUTO_SUSPEND,SUSPENDED,SUSPENDED,Yes
OPEN_CRITICAL_TRIGGER,AUTO_SUSPEND,SUSPENDED,SUSPENDED_OR_REMOVED,Yes
BATCH_MISMATCH,AUTO_SUSPEND,SUSPENDED,REMOVED,Yes
LEGAL_REGULATORY_ALERT,AUTO_SUSPEND,SUSPENDED,REMOVED,Yes
COUNTERFEIT_OR_DUPLICATE_CONCERN,AUTO_SUSPEND,SUSPENDED,REMOVED,Yes
OPEN_HIGH_TRIGGER,AUTO_SUSPEND_MARKETPLACE,REVIEW_REQUIRED,SUSPENDED,Yes
REVIEW_OVERDUE,AUTO_SUSPEND_MARKETPLACE,REVIEW_REQUIRED,SUSPENDED,Yes
CLAIM_REVIEW_OVERDUE,QUEUE_CLAIM_REVIEW,REVIEW_REQUIRED,SUSPENDED_IF_MATERIAL,Yes
UPCOMING_EXPIRY_OR_REVIEW,QUEUE_REVIEW,NO_CHANGE,NO_CHANGE,Yes
