Parent UAI,Asset Name,Source Title,Source Type,Date / Current State,URL,Use
CERT-PKS-000003,Tesamorelin,EGRIFTA WR current United States prescribing information,Authoritative current label,Updated 2025-03-31,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=839334d3-8c1d-4c26-9036-2ab524a6ea75,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000003,Tesamorelin,Metabolic effects of a growth hormone-releasing factor in patients with HIV,Pivotal randomised controlled trial,Published 2007,https://pubmed.ncbi.nlm.nih.gov/18057338/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000003,Tesamorelin,Effects of tesamorelin in HIV-infected patients with abdominal fat accumulation,Randomised controlled trial with safety extension,Published 2010,https://pubmed.ncbi.nlm.nih.gov/20101189/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000003,Tesamorelin,Tesamorelin in people with HIV on integrase inhibitors,Recent randomised controlled evidence,Published 2024,https://pubmed.ncbi.nlm.nih.gov/38905488/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000011,Semaglutide,WEGOVY current United States prescribing information,Authoritative current label,Updated 2026-06-18,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ee06186f-2aa3-4990-a760-757579d8f77b,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000011,Semaglutide,Wegovy European public assessment report,Authoritative European regulatory record,Product information updated 2026-03-30,https://www.ema.europa.eu/en/medicines/human/EPAR/wegovy,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000011,Semaglutide,Once-weekly semaglutide in adults with overweight or obesity,STEP 1 pivotal randomised controlled trial,Published 2021,https://pubmed.ncbi.nlm.nih.gov/33567185/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000011,Semaglutide,Semaglutide and cardiovascular outcomes in obesity without diabetes,SELECT cardiovascular-outcome trial,Published 2023,https://pubmed.ncbi.nlm.nih.gov/37952131/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000012,Tirzepatide,ZEPBOUND current United States prescribing information,Authoritative current label,Updated 2026-04-22,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=487cd7e7-434c-4925-99fa-aa80b1cc776b,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000012,Tirzepatide,MOUNJARO current United States prescribing information,Authoritative current label,Updated 2026-04-22,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2d7da5d-ad07-4228-955f-cf7e355c8cc0,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000012,Tirzepatide,Mounjaro European public assessment report,Authoritative European regulatory record,Page updated 2026-06-26,https://www.ema.europa.eu/en/medicines/human/EPAR/mounjaro,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000012,Tirzepatide,Tirzepatide once weekly for the treatment of obesity,SURMOUNT-1 pivotal randomised controlled trial,Published 2022,https://pubmed.ncbi.nlm.nih.gov/35658024/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000016,Liraglutide,SAXENDA current United States prescribing information,Authoritative current label,Updated 2026-06-15,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3946d389-0926-4f77-a708-0acb8153b143,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000016,Liraglutide,Saxenda European public assessment report,Authoritative European regulatory record,Current record reviewed 2026-07-16,https://www.ema.europa.eu/en/medicines/human/EPAR/saxenda,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000016,Liraglutide,A randomised controlled trial of liraglutide 3.0 mg in weight management,SCALE pivotal randomised controlled trial,Published 2015,https://pubmed.ncbi.nlm.nih.gov/26132939/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000016,Liraglutide,Liraglutide and cardiovascular outcomes in type 2 diabetes,LEADER cardiovascular-outcome trial,Published 2016,https://pubmed.ncbi.nlm.nih.gov/27295427/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000035,Teriparatide,FORTEO United States prescribing information,Authoritative product label,Updated 2025-06-03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aae667c5-381f-4f92-93df-2ed6158d07b0,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000035,Teriparatide,Current generic teriparatide United States label,Authoritative current label,Updated 2026-03-12,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9d3f65e2-e8f0-4d33-b79e-989013dd3ca3,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000035,Teriparatide,Forsteo European public assessment report,Authoritative European regulatory record,Product information updated 2026-01-28,https://www.ema.europa.eu/en/medicines/human/EPAR/forsteo,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000035,Teriparatide,Effect of parathyroid hormone (1-34) on fractures and bone mineral density,Pivotal randomised controlled trial,Published 2001,https://pubmed.ncbi.nlm.nih.gov/11346808/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000079,Afamelanotide / Melanotan I,SCENESSE current United States prescribing information,Authoritative current label,Updated 2026-05-11,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=94f53286-11dd-7fbb-e053-2a95a90a7c48,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000079,Afamelanotide / Melanotan I,Scenesse European public assessment report,Authoritative European regulatory record,Page updated 2026-01-30,https://www.ema.europa.eu/en/medicines/human/EPAR/scenesse,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000079,Afamelanotide / Melanotan I,Afamelanotide for erythropoietic protoporphyria,Pivotal randomised controlled trials,Published 2015,https://pubmed.ncbi.nlm.nih.gov/26132941/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000080,Bremelanotide / PT-141,VYLEESI current United States prescribing information,Authoritative current label,Updated 2025-11-13,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1d0c1b5-2f39-4bad-a6a4-0066e3ad5dcf,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000080,Bremelanotide / PT-141,Bremelanotide for HSDD: two randomised phase 3 trials,RECONNECT pivotal randomised controlled trials,Published 2019,https://pubmed.ncbi.nlm.nih.gov/31599840/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
CERT-PKS-000080,Bremelanotide / PT-141,Long-term safety and efficacy of bremelanotide for HSDD,Open-label extension evidence,Published 2019,https://pubmed.ncbi.nlm.nih.gov/31599847/,"Authorised-product identity, pivotal human evidence, safety or current regulatory closure with supplier non-equivalence"
