Product Passport,Parent UAI,Asset Name,Open Supplier Evidence Field,Status,Release Impact,Required Evidence
CERT-PPS-000059,CERT-PKS-000020,Somatropin,authentic 191-amino-acid human growth hormone sequence,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,recombinant expression system and host-cell lineage,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,"manufacturer, biological licence, batch and supply chain",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,"protein mapping, intact mass, potency bioassay and aggregation",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,"host-cell proteins, residual DNA and process impurities",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,"formulation, excipients, concentration and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000059,CERT-PKS-000020,Somatropin,comparability to an exact licensed somatropin product,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,complete retatrutide sequence and non-natural residues,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000060,CERT-PKS-000001,Retatrutide,"lipidation, linker, attachment site and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
