Asset UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Source,Quality Status
CERT-PKS-000030,Gonadorelin,GND2,2 mg x 10 vials,33,Peptides.pdf,UNVERIFIED
CERT-PKS-000031,Oxytocin,OT2,2 mg x 10 vials,27,Peptides.pdf,UNVERIFIED
CERT-PKS-000031,Oxytocin,OT5,5 mg x 10 vials,47,Peptides.pdf,UNVERIFIED
CERT-PKS-000031,Oxytocin,OT10,10 mg x 10 vials,56,Peptides.pdf,UNVERIFIED
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,G2K,"2,000 IU x 10 vials",55,Peptides.pdf,UNVERIFIED
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,G5K,"5,000 IU x 10 vials",85,Peptides.pdf,UNVERIFIED
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,G10K,"10,000 IU x 10 vials",163,Peptides.pdf,UNVERIFIED
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,G75,75 IU x 10 vials,68,Peptides.pdf,UNVERIFIED
CERT-PKS-000034,Kisspeptin-10,KS5,5 mg x 10 vials,54,Peptides.pdf,UNVERIFIED
CERT-PKS-000034,Kisspeptin-10,KS10,10 mg x 10 vials,81,Peptides.pdf,UNVERIFIED
CERT-PKS-000035,Teriparatide,TER10,10 mg x 10 vials,210,Peptides.pdf,UNVERIFIED
CERT-PKS-000036,Insulin Supplier Product Family,ISU,3 mL x 10 vials,239,Peptides.pdf,UNVERIFIED
CERT-PKS-000037,Erythropoietin Supplier Product Family,E3K,"3,000 IU x 5 vials",122,Peptides.pdf,UNVERIFIED
