Asset UAI,Asset Name,Jurisdiction,Authority,Position,Status Date
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000082,BPC-157 + GHK-Cu + TB-500 Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000083,BPC-157 + GHK-Cu + TB-500 + KPV Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,Global clinical development,Sponsor / trial registries,Cagrilintide plus semaglutide has clinical-development evidence; supplier-vial equivalence is not established.,2026-07-16
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000084,Cagrilintide + Semaglutide Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000085,Retatrutide + Cagrilintide Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000086,Tesamorelin + Ipamorelin Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000087,Semax + Selank Supplier Blend,United States,FDA,No supplier-blend approval or equivalence claim.,2026-07-16
CERT-PKS-000087,Semax + Selank Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000087,Semax + Selank Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for the supplier blend.,2026-07-16
CERT-PKS-000087,Semax + Selank Supplier Blend,International sport,WADA,Status depends on every component and current verification.,2026-07-16
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,United States,FDA,No combination-product approval claim; marketplace CJC nomenclature does not establish identity.,2026-07-16
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,United Kingdom,MHRA,No marketing-authorisation claim for CP10 or CP20.,2026-07-16
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,European Union,EMA / European Commission,No marketing-authorisation claim for CP10 or CP20.,2026-07-16
CERT-PKS-000088,Modified GRF (1-29) + Ipamorelin Supplier Blend,International sport,WADA,Current component-by-component verification required.,2026-07-16
