Source Scope,Catalogue Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Preliminary Classification,Review Segment,Identity Status,Existing UAI,Review Priority,Notes
Peptides.pdf pages 1-5,H06,HGH 191AA (Somatropin),Somatropin,6 IU x 10 vials,46,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,H10,HGH 191AA (Somatropin),Somatropin,10 IU x 10 vials,56,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,H12,HGH 191AA (Somatropin),Somatropin,12 IU x 10 vials,67,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,H15,HGH 191AA (Somatropin),Somatropin,15 IU x 10 vials,85,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,H24,HGH 191AA (Somatropin),Somatropin,24 IU x 10 vials,126,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,H36,HGH 191AA (Somatropin),Somatropin,36 IU x 10 vials,192,Recombinant protein hormone,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,MT1,MT-1,Melanotan I / afamelanotide identity candidate,10 mg x 10 vials,51,Peptide analogue,C7 - Pigmentation and sexual-health peptides,IDENTITY VERIFICATION REQUIRED,,MEDIUM,Supplier shorthand MT-1 must be checked against afamelanotide / Melanotan I identity.
Peptides.pdf pages 1-5,ML10,MT-2 (Melanotan 2 Acetate),Melanotan II,10 mg x 10 vials,51,Cyclic peptide analogue,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000009,HIGH,
Peptides.pdf pages 1-5,P41,PT-141,Bremelanotide,10 mg x 10 vials,66,Cyclic peptide drug,C7 - Pigmentation and sexual-health peptides,PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,GND2,Gonadorelin Acetate,Gonadorelin acetate,2 mg x 10 vials,33,Peptide hormone analogue,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,,HIGH,
Peptides.pdf pages 1-5,DS2,DSIP,Delta sleep-inducing peptide,2 mg x 10 vials,27,Research peptide,C4 - Neurocognitive and sleep peptides,IDENTITY / EVIDENCE VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,DS5,DSIP,Delta sleep-inducing peptide,5 mg x 10 vials,47,Research peptide,C4 - Neurocognitive and sleep peptides,IDENTITY / EVIDENCE VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,DS10,DSIP,Delta sleep-inducing peptide,10 mg x 10 vials,71,Research peptide,C4 - Neurocognitive and sleep peptides,IDENTITY / EVIDENCE VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,DS15,DSIP,Delta sleep-inducing peptide,15 mg x 10 vials,99,Research peptide,C4 - Neurocognitive and sleep peptides,IDENTITY / EVIDENCE VERIFICATION REQUIRED,,MEDIUM,
Peptides.pdf pages 1-5,SK5,Selank,Selank,5 mg x 10 vials,41,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
Peptides.pdf pages 1-5,SK10,Selank,Selank,10 mg x 10 vials,68,Research peptide,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,,MEDIUM,
