Asset UAI,Asset Name,Catalogue Code,Supplier Specification,USD / Kit,Asset Status
CERT-PKS-000011,Semaglutide,SM2,2 mg x 10 vials,27,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000011,Semaglutide,SM5,5 mg x 10 vials,36,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000011,Semaglutide,SM10,10 mg x 10 vials,50,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000011,Semaglutide,SM15,15 mg x 10 vials,64,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000011,Semaglutide,SM20,20 mg x 10 vials,78,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000011,Semaglutide,SM30,30 mg x 10 vials,108,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR5,5 mg x 10 vials,35,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR10,10 mg x 10 vials,51,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR15,15 mg x 10 vials,62,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR20,20 mg x 10 vials,84,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR30,30 mg x 10 vials,107,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR40,40 mg x 10 vials,140,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR50,50 mg x 10 vials,169,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR60,60 mg x 10 vials,197,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000012,Tirzepatide,TR100,100 mg x 10 vials,301,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000013,Cagrilintide,CGL5,5 mg x 10 vials,92,INVESTIGATIONAL / NO STANDALONE APPROVAL CLAIM
CERT-PKS-000013,Cagrilintide,CGL10,10 mg x 10 vials,170,INVESTIGATIONAL / NO STANDALONE APPROVAL CLAIM
CERT-PKS-000013,Cagrilintide,CGL20,20 mg x 10 vials,295,INVESTIGATIONAL / NO STANDALONE APPROVAL CLAIM
CERT-PKS-000014,Mazdutide,MDT5,5 mg x 10 vials,93,APPROVED CONTEXT EXISTS IN CHINA / NO US-UK-EU APPROVAL CLAIM
CERT-PKS-000014,Mazdutide,MDT10,10 mg x 10 vials,185,APPROVED CONTEXT EXISTS IN CHINA / NO US-UK-EU APPROVAL CLAIM
CERT-PKS-000015,Survodutide,SUR10,10 mg x 10 vials,271,INVESTIGATIONAL / LATE-STAGE / NO APPROVAL CLAIM
CERT-PKS-000016,Liraglutide,LL5,5 mg x 10 vials,85,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000016,Liraglutide,LL10,10 mg x 10 vials,135,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000016,Liraglutide,LL30,30 mg x 10 vials,251,APPROVED PRODUCT CONTEXTS EXIST IN MULTIPLE JURISDICTIONS
CERT-PKS-000017,AOD9604,2AD,2 mg x 10 vials,53,UNAPPROVED / DEVELOPMENT TERMINATED / ATHLETE CONTROL REQUIRED
CERT-PKS-000017,AOD9604,5AD,5 mg x 10 vials,93,UNAPPROVED / DEVELOPMENT TERMINATED / ATHLETE CONTROL REQUIRED
CERT-PKS-000017,AOD9604,10AD,10 mg x 10 vials,197,UNAPPROVED / DEVELOPMENT TERMINATED / ATHLETE CONTROL REQUIRED
CERT-PKS-000018,Adipotide,AP2,2 mg x 10 vials,95,EXPERIMENTAL PRECLINICAL-DOMINANT / NO APPROVAL CLAIM
CERT-PKS-000018,Adipotide,AP5,5 mg x 10 vials,204,EXPERIMENTAL PRECLINICAL-DOMINANT / NO APPROVAL CLAIM
CERT-PKS-000019,HGH Fragment 176-191,FR2,2 mg x 10 vials,53,UNAPPROVED / HUMAN EVIDENCE NOT ESTABLISHED
CERT-PKS-000019,HGH Fragment 176-191,FR5,5 mg x 10 vials,99,UNAPPROVED / HUMAN EVIDENCE NOT ESTABLISHED
CERT-PKS-000019,HGH Fragment 176-191,FR10,10 mg x 10 vials,183,UNAPPROVED / HUMAN EVIDENCE NOT ESTABLISHED
CERT-PKS-000001,Retatrutide,Existing Build 0020 crosswalk,See existing catalogue crosswalk,,Existing asset - no duplicate UAI
,Native GLP-1 identity candidate,GP,5 mg x 10 vials,103,UAI withheld - exact sequence/form unresolved
