Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,proper name: human insulin or exact analogue,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,amino-acid sequence and modifications,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,concentration and units per mL,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,"rapid, short, intermediate, long or weekly action profile",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,"formulation, excipients and delivery device",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,"manufacturer, biological licence and authorised supply chain",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,"potency assay, purity, aggregation and immunogenicity",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000013,CERT-PKS-000036,Insulin Supplier Product Family,"cold chain, sterility, endotoxin and container closure",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,"exact molecule: epoetin alfa, beta, theta, zeta, darbepoetin or other",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,amino-acid and glycosylation profile,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,production cell line and purification process,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,potency unit definition and assay,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,"concentration, formulation and excipients",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,"manufacturer, biological licence and authorised supply chain",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,"aggregation, immunogenicity and anti-EPO antibody control",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000014,CERT-PKS-000037,Erythropoietin Supplier Product Family,"cold chain, sterility, endotoxin and container closure",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,manufacturer and branded/reference-product relationship,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,"species, tissue source and donor controls",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,enzymatic hydrolysis and purification process,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,peptide molecular-weight distribution,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,free amino-acid and peptide composition,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,batch fingerprint and reference-product comparability,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,"viral, prion and transmissible-agent risk controls",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000015,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,"sterility, endotoxin, particulate and container closure",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,USP or other pharmacopoeial product identity,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,water-for-injection raw-material standard,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,benzyl alcohol concentration,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,single-dose or multidose designation,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,manufacturer and authorised supply chain,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,"sterility, bacterial endotoxin and pyrogen testing",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,"particulate, container closure and extractables/leachables",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000007,CERT-MPS-000007,Bacteriostatic Water Supplier Family,drug-specific compatibility statement,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,acetic-acid concentration and grade,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,"pH, tonicity and osmolarity",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,water and excipient pharmacopoeial standards,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,preservative identity and concentration,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,manufacturer and authorised supply chain,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,"sterility, bacterial endotoxin and particulate testing",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,container closure and storage,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000008,CERT-MPS-000008,Acetic Acid Water Supplier Family,validated compatibility for an exact medicinal product,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,serotype and exact proper/nonproprietary name,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,strain and molecular complex,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,"manufacturer, brand and biological licence",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,product-specific potency assay and unit definition,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,"formulation, excipients and presentation",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,authorised indications and jurisdictions,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,"cold chain, sterility and batch release",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000009,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,"serialisation, authorised distributor and counterfeit controls",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
