Source Area,Source / Publication,Year,Current Certiaura Status,Next Action
Tendon healing,Gastric pentadecapeptide BPC 157 accelerates healing of transected rat Achilles tendon and in vitro stimulates tendocytes growth,2003,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
Tendon cell biology,"The promoting effect of pentadecapeptide BPC 157 on tendon healing involves tendon outgrowth, cell survival, and cell migration",2011,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
Ligament healing,Pentadecapeptide BPC 157 (PL 14736) improves ligament healing in the rat,2010,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
Vascular signalling / nitric oxide,Modulatory effects of BPC 157 on vasomotor tone and the activation of Src-Caveolin-1-endothelial nitric oxide synthase pathway,2020,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
Preclinical toxicology,"Preclinical safety evaluation of body protective compound-157, a potential drug for treating various wounds",2020,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
PK / ADME,"Pharmacokinetics, distribution, metabolism, and excretion of body-protective compound 157, a potential drug for treating various wounds, in rats and dogs",2022,PRIMARY PUBLICATION IDENTIFIED — DIRECT EXTRACTION PENDING,Capture direct primary source
Human musculoskeletal evidence,Intra-Articular Injection of BPC 157 for Multiple Types of Knee Pain,2021,HUMAN PUBLICATION IDENTIFIED — METHODOLOGICAL AND PRIMARY-SOURCE REVIEW PENDING,Capture direct primary source
Human urological evidence,Effect of BPC-157 on Symptoms in Patients with Interstitial Cystitis: A Pilot Study,2024,HUMAN PUBLICATION IDENTIFIED — METHODOLOGICAL AND PRIMARY-SOURCE REVIEW PENDING,Capture direct primary source
Anti-doping,WADA Prohibited List,Current annual list,Authoritative source required at each review,Capture current list directly
US regulatory,FDA compounding review / advisory process,2026,Active / time-sensitive,Update after authoritative FDA decision
UK regulatory,MHRA medicines regulation,Current,Jurisdiction-specific review required,Obtain formal legal/regulatory review before commercial use
