trigger_type,default_severity,default_passport_action,default_marketplace_action,review_deadline
EVIDENCE_EXPIRED,HIGH,SUSPEND_OR_EXPIRE,SUSPEND,Immediate
EVIDENCE_WITHDRAWN,CRITICAL,SUSPEND,SUSPEND,Immediate
REPORT_INTEGRITY_DISPUTE,CRITICAL,SUSPEND,SUSPEND,Immediate
BATCH_MISMATCH,CRITICAL,SUSPEND,REMOVE,Immediate
SUPPLIER_IDENTITY_CHANGE,HIGH,REVIEW,SUSPEND,1 business day
MANUFACTURER_IDENTITY_CHANGE,HIGH,REVIEW,SUSPEND,1 business day
LABEL_OR_SPEC_CHANGE,HIGH,REVIEW,SUSPEND_IF_MATERIAL,2 business days
STORAGE_OR_EXPIRY_CHANGE,HIGH,REVIEW,SUSPEND_IF_DISPLAYED,2 business days
LEGAL_REGULATORY_ALERT,CRITICAL,SUSPEND,REMOVE,Immediate
COUNTERFEIT_OR_DUPLICATE_CONCERN,CRITICAL,SUSPEND,REMOVE,Immediate
MARKETPLACE_TERMS_FAILURE,HIGH,NO_AUTOMATIC_PASSPORT_CHANGE,SUSPEND,1 business day
PRICE_OR_AVAILABILITY_CHANGE,MEDIUM,UPDATE_DISPLAY_IF_APPLICABLE,REVIEW,5 business days
SUCCESSOR_PUBLISHED,LOW,SUPERSEDE,REMOVE_OLD_LISTING,At publication
