Priority,Object,UAI,Name,Source Codes,Closure Class,Required Action,Recommended Build
P0,SOURCE FAMILY GAP,NOT ALLOCATED,Elamipretide / SS-31,2S10; 2S50,CATALOGUE COVERAGE GAP,"Create the identity-controlled Elamipretide/SS-31 PKS asset, catalogue SKU crosswalk, evidence, safety and regulatory objects.",0030A
P0,SOURCE FAMILY GAP,NOT ALLOCATED,Native GLP-1 Identity Candidate,GP,CATALOGUE COVERAGE GAP,Resolve the exact GLP-1 sequence/formulation before permanent PKS allocation; use quarantine status if identity remains under-specified.,0030A
P0,FINAL PRODUCT ASSET,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,SLU5,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000007,Bacteriostatic Water Supplier Family,BA03; BA05; BA10; WA10,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000008,Acetic Acid Water Supplier Family,AA10,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,XT100,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,HA5,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000011,Alprostadil Supplier Vial Family,PRO20,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,LB10; LB10 (supplemental); NO CODE PRINTED; 柠檬瓶,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
P0,FINAL PRODUCT ASSET,CERT-PKS-000036,Insulin Supplier Product Family,ISU,HIGH-RISK IDENTITY / PRODUCT PASSPORT,"Direct manufacturer, analytical, regulatory and safety closure.",POST-COVERAGE CLOSURE QUEUE
