UAI,Asset Name,Score,Critical Issue,Controlled Disposition,Required Release Evidence,Release Gate
CERT-PKS-000076,Crystagen,24,Public EDP versus PQN sequence conflict.,No canonical sequence; identity quarantine active.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-PKS-000077,Ovagen,24,Veterinary ovine-FSH name collision and conflicting peptide claims.,No canonical peptide sequence; identity quarantine active.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,20,No authoritative SLU-PP-322 identity; possible typo cannot be silently corrected.,SLU-PP-332 retained only as a comparator.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-MPS-000008,Acetic Acid Water Supplier Family,20,"Acetic-acid concentration, pH, tonicity, sterility and compatibility are unknown.",No pharmaceutical-diluent interpretation.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-MPS-000009,Botulinum Toxin Supplier Product Family,20,"Serotype, proper name, strain, manufacturer and potency assay are unknown.",No authorised-product or unit equivalence.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,20,"Composition, authenticity and 42.5 mg/mL mass-balance shortfall remain unresolved.",No invented ingredient or approved-product equivalence.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-PKS-000042,Adamax Supplier Product Family,20,"No authoritative canonical molecule, sequence, linkage position or molecular mass.",Identity blocked; vendor structures remain non-canonical.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,20,"Source tissue, hydrolysate process, composition and comparability are unknown.",No branded Cerebrolysin evidence transfer.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-PKS-000048,P21 Without Adamantane Supplier Product Family,20,"Sequence, residue count, termini and relationship to P021 are unresolved.",No assumption that it is P021 minus adamantane.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
CERT-PKS-000090,Generic GLP-1 Supplier Product Family,20,"Residue range, C-terminal form, analogue status, salt and route are unknown.",Supplier-family UAI retained with molecular identity block.,"Direct manufacturer declaration, reference standard, independent analytical identity and human regulatory review.",BLOCKED
