Asset UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Source,Quality Status
CERT-PKS-000038,Semax,XA5,5 mg x 10 vials,41,Peptides.pdf,UNVERIFIED
CERT-PKS-000038,Semax,XA10,10 mg x 10 vials,62,Peptides.pdf,UNVERIFIED
CERT-PKS-000038,Semax,XA30,30 mg x 10 vials,135,Peptides.pdf,UNVERIFIED
CERT-PKS-000039,Selank,SK5,5 mg x 10 vials,41,Peptides.pdf,UNVERIFIED
CERT-PKS-000039,Selank,SK10,10 mg x 10 vials,68,Peptides.pdf,UNVERIFIED
CERT-PKS-000039,Selank,SK30,30 mg x 10 vials,145,Peptides.pdf,UNVERIFIED
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS2,2 mg x 10 vials,27,Peptides.pdf,UNVERIFIED
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS5,5 mg x 10 vials,47,Peptides.pdf,UNVERIFIED
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS10,10 mg x 10 vials,71,Peptides.pdf,UNVERIFIED
CERT-PKS-000040,Delta Sleep-Inducing Peptide,DS15,15 mg x 10 vials,99,Peptides.pdf,UNVERIFIED
CERT-PKS-000041,Pinealon,PIN5,5 mg x 10 vials,42,Peptides.pdf,UNVERIFIED
CERT-PKS-000041,Pinealon,PIN10,10 mg x 10 vials,64,Peptides.pdf,UNVERIFIED
CERT-PKS-000041,Pinealon,PIN20,20 mg x 10 vials,103,Peptides.pdf,UNVERIFIED
CERT-PKS-000042,Adamax Supplier Product Family,AD5,5 mg x 10 vials,172,Peptides.pdf,UNVERIFIED
CERT-PKS-000043,PE 22-28 Supplier Product Family,PE10,10 mg x 10 vials,71,Peptides.pdf,UNVERIFIED
