Evidence UAI,Parent UAI,Asset Name,Closure Build,Closure Wave,Repository Validation
CERT-EKS-000233,CERT-PKS-000036,Insulin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000234,CERT-PKS-000036,Insulin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000235,CERT-PKS-000037,Erythropoietin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000236,CERT-PKS-000037,Erythropoietin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000237,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000238,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000239,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000240,CERT-MPS-000007,Bacteriostatic Water Supplier Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000241,CERT-MPS-000008,Acetic Acid Water Supplier Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000242,CERT-MPS-000008,Acetic Acid Water Supplier Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000243,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000244,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,GREEN — USER CONFIRMED
CERT-EKS-000245,CERT-PKS-000060,Matrixyl Supplier Product Family,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",GREEN — USER CONFIRMED
CERT-EKS-000246,CERT-PKS-000060,Matrixyl Supplier Product Family,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",GREEN — USER CONFIRMED
