Asset,Source,URL / Citation,Purpose
Elamipretide,FDA Forzinity prescribing information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/215244s000lbl.pdf,"Authorised chemistry, sequence, hydrochloride salt, sterile formulation, accelerated-approval indication, mechanism and safety"
Elamipretide,FDA Drug Trials Snapshot,https://www.fda.gov/drugs/drug-trials-snapshots/drug-trials-snapshots-forzinity,"Approval date, trial population, accelerated-approval basis and adverse reactions"
Elamipretide,FDA orphan-drug approval register,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=607817,"Marketing approval date, labelled indication and orphan exclusivity"
Elamipretide,ClinicalTrials.gov NCT07531251,https://clinicaltrials.gov/study/NCT07531251,Phase 3b/4 confirmatory trial following accelerated approval
Elamipretide,EMA orphan designation EU/3/21/2430,https://www.ema.europa.eu/en/medicines/human/orphan-designations/eu-3-21-2430,European Union orphan designation and non-authorisation boundary
Elamipretide,MHRA PIP MHRA-101705-PIP01-24,https://cms.mhra.gov.uk/pip/mhra-101705-pip01-24,United Kingdom paediatric investigation plan and non-authorisation boundary
Generic GLP-1,Primary human incretin study,Kreymann et al. Glucagon-like peptide-1 7-36: a physiological incretin in man. Lancet. 1987. PMID 2890903.,Human GLP-1(7-36) amide physiology
Generic GLP-1,Primary molecular-form comparison,Orskov et al. Biological effects and metabolic rates of GLP-1 7-36 amide and GLP-1 7-37. Diabetes. 1993. PMID 8482423.,Evidence that amidated and glycine-extended forms are distinct molecular identities
Generic GLP-1,Primary subcutaneous pharmacokinetic study,Ritzel et al. GLP-1(7-36 amide) after subcutaneous injection in healthy volunteers. Diabetologia. 1995. PMID 7672496.,Exact molecular-form and route-specific human evidence
All assets,WADA 2026 Prohibited List,https://www.wada-ama.org/en/resources/world-anti-doping-program/prohibited-list,Current athlete-specific status verification
