UAI,Asset Name,Priority,Product Passport,Passport Coverage Status,Recommended Next Build
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,P0,CERT-PPS-000006,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000007,Bacteriostatic Water Supplier Family,P0,CERT-PPS-000007,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000008,Acetic Acid Water Supplier Family,P0,CERT-PPS-000008,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000009,Botulinum Toxin Supplier Product Family,P0,CERT-PPS-000009,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,P0,CERT-PPS-000010,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000011,Alprostadil Supplier Vial Family,P0,CERT-PPS-000011,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,P0,CERT-PPS-000012,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000036,Insulin Supplier Product Family,P0,CERT-PPS-000013,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000037,Erythropoietin Supplier Product Family,P0,CERT-PPS-000014,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,P0,CERT-PPS-000015,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000046,Dermorphin,P0,CERT-PPS-000018,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000060,Matrixyl Supplier Product Family,P0,CERT-PPS-000016,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-PKS-000067,Testagen Supplier Product Family,P0,CERT-PPS-000017,DEDICATED CLOSURE PASSPORT ACTIVE,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED
CERT-MPS-000001,AICAR Supplier Product Family,P1,CERT-PPS-000001,PRE-EXISTING PRODUCT PASSPORT — CLOSURE WAVE PENDING,0033A
CERT-MPS-000002,Melatonin Supplier Vial Family,P1,CERT-PPS-000002,PRE-EXISTING PRODUCT PASSPORT — CLOSURE WAVE PENDING,0033A
