UAI,Asset Name,System,Priority,Programme Status,Closure Build,Closure Wave,Product Passport,Closure Evidence Objects,Direct Sale Gate,Platinum Status,Recommended Next Build,Current Required Action,Baseline Closure Class
CERT-MPS-000001,AICAR Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000001,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000002,Melatonin Supplier Vial Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000002,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000003,Glutathione Supplier Vial Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000003,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000004,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-MPS-000005,NAD Supplier Product Family,MPS,P1,PRIORITY CLOSURE WAVE PENDING,,,CERT-PPS-000005,,BLOCKED / NOT ACTIVATED,NO,0033A,"Complete PPS identity, grade, route, quality and legal fields.",PRODUCT PASSPORT OPEN
CERT-PKS-000028,PEG-MGF Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000032,Human Chorionic Gonadotropin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000033,Menotropins / Human Menopausal Gonadotropin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000044,Cerebrolysin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000052,Thymalin Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000063,Humanin Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033B,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000064,FOXO4-DRI Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000066,Vilon Supplier Product Family,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000068,Bronchogen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000069,Cardiogen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000070,Cortagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000071,Livagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033C,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000072,Pancragen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000073,Prostamax,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000074,Cartalax,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000075,Chonluten,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000076,Crystagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000077,Ovagen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000078,Vesugen,PKS,P1,PRIORITY CLOSURE WAVE PENDING,,,,,BLOCKED / NOT ACTIVATED,NO,0033D,"Close sequence, formulation, manufacturer and primary-source identity.",IDENTITY / FORMULATION CLOSURE
CERT-PKS-000089,Elamipretide / SS-31,PKS,P1,COVERAGE-CORRECTION FOUNDATION COMPLETE — DEDICATED CLOSURE PENDING,0030A,Coverage Correction Foundation,,CERT-EKS-000229; CERT-EKS-000230,BLOCKED,NO,0033A,"Allocate a dedicated Product Passport and close supplier sequence, salt, sterility, quality and Forzinity comparability.",AUTHORISED-PRODUCT EQUIVALENCE / SUPPLIER POWDER
CERT-PKS-000090,Generic GLP-1 Supplier Product Family,PKS,P1,COVERAGE-CORRECTION FOUNDATION COMPLETE — DEDICATED CLOSURE PENDING,0030A,Coverage Correction Foundation,,CERT-EKS-000231; CERT-EKS-000232,BLOCKED,NO,0033A,"Allocate a dedicated Product Passport and close sequence, residue range, terminal form, analogue status, salt and product-specific evidence.",CRITICAL MOLECULAR IDENTITY / SUPPLIER FAMILY
