check_type,days_remaining,finding_code,severity,queue_priority,required_action
EFFECTIVE_UNTIL,60,PASSPORT_EXPIRY_60D,LOW,P4,PLAN_EVIDENCE_REFRESH
EFFECTIVE_UNTIL,30,PASSPORT_EXPIRY_30D,MEDIUM,P3,START_EVIDENCE_REFRESH
EFFECTIVE_UNTIL,14,PASSPORT_EXPIRY_14D,MEDIUM,P3,CONFIRM_REVIEW_BOOKED
EFFECTIVE_UNTIL,7,PASSPORT_EXPIRY_7D,HIGH,P2,URGENT_REVIEW
EFFECTIVE_UNTIL,1,PASSPORT_EXPIRY_1D,HIGH,P2,URGENT_REVIEW
EFFECTIVE_UNTIL,0,PASSPORT_EXPIRES_TODAY,HIGH,P1,COMPLETE_REVIEW_OR_ALLOW_EXPIRY
EFFECTIVE_UNTIL,OVERDUE,PASSPORT_EXPIRED,HIGH,P1,EXPIRE_AND_REMOVE_MARKETPLACE
NEXT_REVIEW,30,REVIEW_DUE_30D,LOW,P3,SCHEDULE_REVIEW
NEXT_REVIEW,14,REVIEW_DUE_14D,MEDIUM,P3,CONFIRM_REVIEW_OWNER
NEXT_REVIEW,7,REVIEW_DUE_7D,HIGH,P2,URGENT_REVIEW
NEXT_REVIEW,1,REVIEW_DUE_1D,HIGH,P2,URGENT_REVIEW
NEXT_REVIEW,0,REVIEW_DUE_TODAY,HIGH,P1,COMPLETE_REVIEW
NEXT_REVIEW,OVERDUE,REVIEW_OVERDUE,HIGH,P1,SUSPEND_MARKETPLACE_AND_REVIEW
UPSTREAM_REVIEW,30,UPSTREAM_REVIEW_EXPIRY_30D,MEDIUM,P3,START_REVERIFICATION
UPSTREAM_REVIEW,7,UPSTREAM_REVIEW_EXPIRY_7D,HIGH,P2,URGENT_REVERIFICATION
UPSTREAM_REVIEW,OVERDUE,UPSTREAM_REVIEW_EXPIRED,CRITICAL,P0,SUSPEND_PASSPORT_AND_MARKETPLACE
CLAIM_REVIEW,14,CLAIM_REVIEW_DUE_14D,MEDIUM,P3,REVIEW_CLAIM
CLAIM_REVIEW,7,CLAIM_REVIEW_DUE_7D,HIGH,P2,URGENT_CLAIM_REVIEW
CLAIM_REVIEW,OVERDUE,CLAIM_REVIEW_OVERDUE,HIGH,P1,HIDE_CLAIM_OR_SUSPEND
MARKETPLACE_REVIEW,14,MARKETPLACE_REVIEW_DUE_14D,MEDIUM,P3,REVIEW_MARKETPLACE_DECISION
MARKETPLACE_REVIEW,7,MARKETPLACE_REVIEW_DUE_7D,HIGH,P2,URGENT_MARKETPLACE_REVIEW
MARKETPLACE_REVIEW,OVERDUE,MARKETPLACE_REVIEW_OVERDUE,HIGH,P1,SUSPEND_MARKETPLACE
