Preliminary Canonical Name,Catalogue Listed Name,Catalogue Codes,Source SKU Count,Review Segment,Build 0020 Identity Status,Final UAI(s),Final Asset Name(s),Final Build(s),Disposition,Audit Note
Somatropin,HGH 191AA (Somatropin),H06; H10; H12; H15; H24; H36,6,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000020,Somatropin,0022A,MAPPED,
Melanotan I / afamelanotide identity candidate,MT-1,MT1,1,C7 - Pigmentation and sexual-health peptides,IDENTITY VERIFICATION REQUIRED,CERT-PKS-000079,Afamelanotide / Melanotan I,0026,MAPPED,
Melanotan II,MT-2 (Melanotan 2 Acetate),ML10,1,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000009,Melanotan II,PRE-0020,MAPPED,
Bremelanotide,PT-141,P41,1,C7 - Pigmentation and sexual-health peptides,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000080,Bremelanotide / PT-141,0026,MAPPED,
Gonadorelin acetate,Gonadorelin Acetate,GND2,1,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000030,Gonadorelin,0022C,MAPPED,
Delta sleep-inducing peptide,DSIP,DS2; DS5; DS10; DS15,4,C4 - Neurocognitive and sleep peptides,IDENTITY / EVIDENCE VERIFICATION REQUIRED,CERT-PKS-000040,Delta Sleep-Inducing Peptide,0023A,MAPPED,
Selank,Selank,SK5; SK10; SK30,3,C4 - Neurocognitive and sleep peptides,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000039,Selank,0023A,MAPPED,
Oxytocin acetate,Oxytocin Acetate,OT2; OT5; OT10,3,"C3 - GH, IGF and endocrine",PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000031,Oxytocin,0022C,MAPPED,
Epitalon,Epithalon,ET10; ET40; ET50,3,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000010,Epitalon,PRE-0020,MAPPED,
BPC-157,BPC 157,BC2; BC5; BC10; BC20,4,Existing assets,PRELIMINARY IDENTITY ACCEPTED,CERT-PKS-000002,BPC-157,PRE-0020,MAPPED,
BPC-157 + TB-500 blend,BPC + TB,BB4; BB10; BB20,3,C8 - Blends and supplier combinations,BLEND - COMPONENT IDENTITY VERIFICATION REQUIRED,CERT-PKS-000081,BPC-157 + TB Supplier Blend Family,0027,MAPPED,
