Universal Asset Identifier,Asset Name,Knowledge System,Asset Type,Status,Owner,Parent Assets,Last Review,Notes,Repository Path,Supporting Files,Version,Completion Percentage,Child Assets,Relationship List,Evidence Links,Report Links,Marketplace Links,Next Review,Change History,Build Provenance,Source Builds,Registration Basis,File SHA256,Last Updated,Asset Title
CERT-SYS-000001,BATCH B IDENTITY CONTROL DECISION,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/BATCH_B_IDENTITY_CONTROL_DECISION.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,743e0cf0b85b80dcde6ab1b2eaf77f5d0ce02aa2246922deab5b18c33cc1c80e,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000002,BUILD 0009 — ASSET ALLOCATION RECORD,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/BUILD_0009_ASSET_ALLOCATION_RECORD.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,4abd84d0f90bbcca6e649a8ee1d9005f6f0fcbbb22abdc7676c0da81b8bc26ab,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000003,BUILD 0010 — EVIDENCE ASSET ALLOCATION RECORD,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/BUILD_0010_EVIDENCE_ASSET_ALLOCATION_RECORD.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,0e69e72e86458a4629b893db84b9892a9758f42e06ea32b0785ed623b2493fb5,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000004,UNIVERSAL REGULATORY & STATUS INTELLIGENCE REQUIREMENT,SYS,Governance Control, LOCKED PLATFORM REQUIREMENT,Certiaura,,,,00_Governance/BUILD_0012_UNIVERSAL_REGULATORY_STATUS_REQUIREMENT.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,d97aef2149d9235c4304fe7a8b2e4dd889695bd1825fc8b9772d1157a6fc63e5,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000005,BUILD 0020 CATALOGUE INTAKE IMPLEMENTATION RECORD,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/BUILD_0020_CATALOGUE_INTAKE_IMPLEMENTATION_RECORD.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,82a9aec1c8ac90c9db813ad41ddf0f8b33ef61073649f9875443bc60538904cd,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000006,CERTIAURA BATCH PRODUCTION STANDARD,SYS,Governance Control,ACTIVE,Certiaura,,,,00_Governance/CERTIAURA_BATCH_PRODUCTION_STANDARD.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,c32ebb6a79a8deacb9d34067aaa1455b2e9a276d928991dfd6708858b3097731,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000007,CERTIAURA BRAND APPLICATION STANDARD,SYS,Governance Control, LOCKED DEFAULT,Certiaura,,,,00_Governance/CERTIAURA_BRAND_APPLICATION_STANDARD.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,ea6ef7d9e21d28c4572b7084febadee5c2e2ba3cc4e24554d9730ee8453954ac,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000008,CERTIAURA CONTINUITY AND CHANGE CONTROL,SYS,Governance Control, Active Reference Rule,Certiaura,,,,00_Governance/CERTIAURA_CONTINUITY_AND_CHANGE_CONTROL.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,ba9c55ffeccda4c185fcbe69e81bf96e0b17c9925f6c0a71bb825f2717f17974,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000009,Certiaura Locked Build Continuity and Checkpoint,SYS,Governance Control,ACTIVE,Certiaura Founder,,,,00_Governance/CERTIAURA_LOCKED_BUILD_CONTINUITY_AND_CHECKPOINT.md,,1.3.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0040,0040,EXISTING_GOVERNANCE_RECORD_UPDATE,576d340bbfaba25d50ea1586a4bfa8be853d26d18c475b19a1c1eacb9779503e,2026-07-19T18:56:54.150597+00:00,
CERT-SYS-000010,CERTIAURA LOCKED DECISIONS REFERENCE,SYS,Governance Control, Active,Certiaura,,,,00_Governance/CERTIAURA_LOCKED_DECISIONS_REFERENCE.md,,1.0.0,100,,,,,,,2026-07-19T18:56:54.150597+00:00: created/restored by Build 0038,CERT-BUILD-0038,,HISTORICAL_REPOSITORY_CENSUS,25d5ea737709ba003e57ebf98ebb5332f551a976fc017ca8ef424c677d94196e,2026-07-19T18:56:54.150597+00:00,
