Asset UAI,Asset Name,Jurisdiction,Authority,Current Controlled Position,Monitoring,Status Date
CERT-PKS-000026,Long R3 IGF-1,United States,FDA,"No approval claim; current investigational, compounding, safety and enforcement status requires monitoring.",ACTIVE,2026-07-16
CERT-PKS-000026,Long R3 IGF-1,United Kingdom,MHRA,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000026,Long R3 IGF-1,European Union,EMA / European Commission,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000026,Long R3 IGF-1,International sport,WADA,"IGF/growth-factor, MGF or myostatin-inhibitor controls require a prohibited-substance warning.",ACTIVE,2026-07-16
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,United States,FDA,"No approval claim; current investigational, compounding, safety and enforcement status requires monitoring.",ACTIVE,2026-07-16
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,United Kingdom,MHRA,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,European Union,EMA / European Commission,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000027,Mechano Growth Factor / IGF-1Ec E-Domain Peptide Family,International sport,WADA,"IGF/growth-factor, MGF or myostatin-inhibitor controls require a prohibited-substance warning.",ACTIVE,2026-07-16
CERT-PKS-000028,PEG-MGF Supplier Product Family,United States,FDA,"No approval claim; current investigational, compounding, safety and enforcement status requires monitoring.",ACTIVE,2026-07-16
CERT-PKS-000028,PEG-MGF Supplier Product Family,United Kingdom,MHRA,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000028,PEG-MGF Supplier Product Family,European Union,EMA / European Commission,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000028,PEG-MGF Supplier Product Family,International sport,WADA,"IGF/growth-factor, MGF or myostatin-inhibitor controls require a prohibited-substance warning.",ACTIVE,2026-07-16
CERT-PKS-000029,ACE-031,United States,FDA,"No approval claim; current investigational, compounding, safety and enforcement status requires monitoring.",ACTIVE,2026-07-16
CERT-PKS-000029,ACE-031,United Kingdom,MHRA,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000029,ACE-031,European Union,EMA / European Commission,No marketing-authorisation claim.,ACTIVE,2026-07-16
CERT-PKS-000029,ACE-031,International sport,WADA,"IGF/growth-factor, MGF or myostatin-inhibitor controls require a prohibited-substance warning.",ACTIVE,2026-07-16
