Product Passport,Parent UAI,Asset Name,Open Supplier Evidence Field,Status,Release Impact,Required Evidence
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,complete tesamorelin sequence and N-terminal trans-3-hexenoic acid modification,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,"acetate state, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,"HPLC, LC-MS, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,"finished powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,"sterility, endotoxin and particulate testing",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,stability and post-reconstitution data,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000052,CERT-PKS-000003,Tesamorelin,comparability to EGRIFTA WR active substance and finished product,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,complete semaglutide sequence and non-natural amino-acid substitutions,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,fatty-diacid linker chemistry and attachment site,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,"HPLC, LC-MS, peptide mapping, potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000053,CERT-PKS-000011,Semaglutide,comparability to each claimed authorised product and route,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,complete tirzepatide sequence and non-natural residue identity,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"fatty-diacid linker, attachment site and stereochemistry",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"salt, counter-ion, molecular mass and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"manufacturer, synthesis route and batch",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"HPLC, LC-MS, peptide mapping, receptor potency and impurity profile",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"powder formulation, excipients and container closure",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,"sterility, endotoxin, particles and stability",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000054,CERT-PKS-000012,Tirzepatide,comparability to MOUNJARO or ZEPBOUND finished products,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,complete liraglutide sequence and palmitoyl-glutamyl modification,OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
CERT-PPS-000055,CERT-PKS-000016,Liraglutide,"attachment site, molecular mass, salt and reference standard",OPEN,BLOCKS PLATINUM AND COMMERCIAL RELEASE,"Direct manufacturer declaration, certificate, reference-standard and independent analytical or regulatory comparability evidence"
