Evidence ID,Root Asset,Closure State,Quantitative Claims Permitted,Next Action
CERT-EKS-000025,Tesamorelin,OPEN — CURRENT LABEL NOT CAPTURED,No,Capture current authoritative U.S. label
CERT-EKS-000026,Tesamorelin,PRIMARY IDENTITY CONFIRMED — COMPLETE EXTRACTION OPEN,No,Capture full article
CERT-EKS-000027,Tesamorelin,PRIMARY METADATA CONFIRMED — COMPLETE EXTRACTION OPEN,No,Capture full article
CERT-EKS-000028,CJC-1295,PRIMARY ABSTRACT DIRECTLY EXTRACTED,"Yes, abstract-scoped",Capture full article if deeper safety detail required
CERT-EKS-000029,CJC-1295,PRIMARY ABSTRACT DIRECTLY EXTRACTED,"Yes, abstract-scoped",Maintain
CERT-EKS-000030,CJC-1295,OPEN — DEVELOPMENT RECORDS REQUIRED,No,Capture sponsor and regulatory history
CERT-EKS-000031,Ipamorelin,PRIMARY ABSTRACT DIRECTLY EXTRACTED,"Yes, abstract-scoped",Maintain
CERT-EKS-000032,Ipamorelin,PRIMARY ABSTRACT DIRECTLY EXTRACTED,"Yes, abstract-scoped",Maintain negative efficacy finding
CERT-EKS-000033,Ipamorelin,PRIMARY IDENTITY CONFIRMED — DIRECT EXTRACTION OPEN,No,Capture complete primary source
CERT-EKS-000034,MOTS-c,CORE PRIMARY EXTRACTION CLOSED,"Yes, model-specific",Maintain animal/human boundary
CERT-EKS-000035,MOTS-c,CORE PRIMARY FULL-TEXT EXTRACTION CLOSED,"Yes, model-specific",Maintain human expression versus animal treatment distinction
CERT-EKS-000036,MOTS-c,OPEN — DIRECT HUMAN INTERVENTION EVIDENCE REQUIRED,No,Monitor human trial and safety evidence
