UAI,Asset Name,System,Priority,Programme Status,Closure Build,Closure Wave,Product Passport,Closure Evidence Objects,Direct Sale Gate,Platinum Status,Recommended Next Build,Current Required Action,Baseline Closure Class
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000006,CERT-EKS-000249; CERT-EKS-000250,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000007,Bacteriostatic Water Supplier Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000007,CERT-EKS-000239; CERT-EKS-000240,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000008,Acetic Acid Water Supplier Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000008,CERT-EKS-000241; CERT-EKS-000242,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000009,Botulinum Toxin Supplier Product Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000009,CERT-EKS-000243; CERT-EKS-000244,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000010,CERT-EKS-000251; CERT-EKS-000252,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000011,Alprostadil Supplier Vial Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000011,CERT-EKS-000253; CERT-EKS-000254,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,MPS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",CERT-PPS-000012,CERT-EKS-000255; CERT-EKS-000256,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000036,Insulin Supplier Product Family,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000013,CERT-EKS-000233; CERT-EKS-000234,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000037,Erythropoietin Supplier Product Family,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000014,CERT-EKS-000235; CERT-EKS-000236,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,PKS,P0,CLOSURE WAVE APPLIED — GATES REMAIN BLOCKED,0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,CERT-PPS-000015,CERT-EKS-000237; CERT-EKS-000238,BLOCKED,NO,NO NEW WAVE SCHEDULED — DIRECT EVIDENCE REQUIRED,"Maintain blocked gates and close Product Passport fields only with direct manufacturer, analytical, stability, clinical and regulatory evidence.",HIGH-RISK IDENTITY / PRODUCT PASSPORT
