Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,AICA riboside/acadesine versus phosphorylated AICAR/ZMP,OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"exact chemical name, formula, mass and CAS",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"salt, counter-ion and hydration state",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"reference standard, HPLC, LC-MS and purity",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"manufacturer, synthesis route and batch",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"route, formulation and excipients",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"sterility, endotoxin and particulate testing if parenteral",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000001,CERT-MPS-000001,AICAR Supplier Product Family,"current legal, regulatory and anti-doping status",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,melatonin chemical identity and reference standard,OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,route and dosage form,OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,immediate-release versus prolonged-release profile,OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,"concentration, excipients, pH and container system",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,manufacturer and authorised-product relationship,OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,"impurities, degradation products and stability",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,"sterility, endotoxin and particles if presented for injection",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
CERT-PPS-000002,CERT-MPS-000002,Melatonin Supplier Vial Family,"product-specific clinical, regulatory and jurisdiction status",OPEN,P1,"Direct manufacturer, analytical, quality, clinical and regulatory evidence"
