Rank,UAI,Asset Name,Score,Primary Extraction Focus,Direct Sale Gate,Platinum Certified
1,CERT-PKS-000003,Tesamorelin,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
2,CERT-PKS-000011,Semaglutide,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
3,CERT-PKS-000012,Tirzepatide,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
4,CERT-PKS-000016,Liraglutide,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
5,CERT-PKS-000035,Teriparatide,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
6,CERT-PKS-000079,Afamelanotide / Melanotan I,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
7,CERT-PKS-000080,Bremelanotide / PT-141,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
8,CERT-PKS-000089,Elamipretide / SS-31,92,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
9,CERT-PKS-000020,Somatropin,90,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
10,CERT-PKS-000001,Retatrutide,76,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
11,CERT-PKS-000013,Cagrilintide,76,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
12,CERT-PKS-000014,Mazdutide,76,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
13,CERT-PKS-000015,Survodutide,76,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
14,CERT-PKS-000054,Cibinetide / ARA-290,76,Full primary-source set; current regulatory source map; safety source closure; supplier sequence/formulation/quality evidence; Product Passport gap analysis.,BLOCKED,NO
