Priority,UAI,Asset Name,System,Catalogue Codes,Product Passport,Closure Evidence Objects,Closure Class,Closure State,Closure Build,Closure Wave,Identity / Sequence Gate,Terminal Chemistry Gate,Source / Composition Gate,Potency Gate,Ratio Gate,Compatibility Gate,Quality Gate,Sterility Gate,Human Evidence Gate,Direct Sale Gate,Platinum Status,Repository Validation
P0,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,,SLU5,CERT-PPS-000006,CERT-EKS-000249; CERT-EKS-000250,UNKNOWN COMPOUND / POSSIBLE TYPO / ANTI-DOPING,BLOCKED — NO AUTHORITATIVE SLU-PP-322 CHEMICAL IDENTITY; SLU-PP-332 COMPARATOR EVIDENCE IS NON-TRANSFERABLE,0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000007,Bacteriostatic Water Supplier Family,,WA10; BA10; BA05; BA03,CERT-PPS-000007,CERT-EKS-000239; CERT-EKS-000240,CRITICAL STERILE DILUENT IDENTITY,"BLOCKED — USP STATUS, 0.9% BENZYL ALCOHOL AND STERILITY UNVERIFIED",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000008,Acetic Acid Water Supplier Family,,AA10,CERT-PPS-000008,CERT-EKS-000241; CERT-EKS-000242,"CRITICAL FORMULATION, PH AND COMPATIBILITY","BLOCKED — ACETIC-ACID CONCENTRATION, PH AND STERILITY UNKNOWN",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000009,Botulinum Toxin Supplier Product Family,,XT100,CERT-PPS-000009,CERT-EKS-000243; CERT-EKS-000244,"CRITICAL NEUROTOXIN IDENTITY, POTENCY AND AUTHENTICITY","BLOCKED — SEROTYPE, PROPER NAME, BRAND, ASSAY AND MANUFACTURER UNKNOWN",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000010,Hyaluronic Acid Supplier Product Family,,HA5,CERT-PPS-000010,CERT-EKS-000251; CERT-EKS-000252,INJECTABLE DEVICE / POLYMER AND VASCULAR RISK,"BLOCKED — POLYMER FORM, MOLECULAR WEIGHT, CROSSLINKING, RHEOLOGY, DEVICE CONFIGURATION AND APPROVED USE UNKNOWN",0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000011,Alprostadil Supplier Vial Family,,PRO20,CERT-PPS-000011,CERT-EKS-000253; CERT-EKS-000254,"PRESCRIPTION MEDICINE ROUTE, FORMULATION AND POTENCY","BLOCKED — ROUTE, DOSAGE FORM, EXCIPIENTS, CONCENTRATION, MANUFACTURER AND AUTHORISED-PRODUCT EQUIVALENCE UNKNOWN",0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-MPS-000012,Lemon Bottle Supplier Mixture Family,,NO CODE PRINTED; LB10,CERT-PPS-000012,CERT-EKS-000255; CERT-EKS-000256,UNAPPROVED INJECTABLE MIXTURE / COMPOSITION AND AUTHENTICITY,"BLOCKED — COMPLETE COMPOSITION, MASS BALANCE, AUTHENTICITY, STERILITY, MANUFACTURER AND LEGAL STATUS UNRESOLVED",0031B,"Wave 2 — Cosmetic, Injectable & Unresolved Identity Closure",BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-PKS-000036,Insulin Supplier Product Family,,ISU,CERT-PPS-000013,CERT-EKS-000233; CERT-EKS-000234,CRITICAL BIOLOGIC IDENTITY AND POTENCY,"BLOCKED — MOLECULE, CONCENTRATION, ACTION PROFILE AND PRODUCT UNKNOWN",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-PKS-000037,Erythropoietin Supplier Product Family,,E3K,CERT-PPS-000014,CERT-EKS-000235; CERT-EKS-000236,"CRITICAL GLYCOPROTEIN IDENTITY, POTENCY AND THROMBOSIS","BLOCKED — ESA MOLECULE, GLYCOSYLATION, CELL LINE AND PRODUCT UNKNOWN",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
P0,CERT-PKS-000045,Unbranded Cerebrolysin-Type Product Family,,C60,CERT-PPS-000015,CERT-EKS-000237; CERT-EKS-000238,CRITICAL BIOLOGICAL MIXTURE AND SOURCE COMPARABILITY,"BLOCKED — SOURCE TISSUE, HYDROLYSATE PROCESS AND COMPOSITION UNKNOWN",0031A,Wave 1 — High-Risk Biologic & Sterile Product Closure,BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,N/A OR BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,NO,GREEN — USER CONFIRMED
