Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,exact Matrixyl trademark variant and product grade,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,complete INCI name,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,"peptide sequence, lipidation and terminal chemistry",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,single peptide versus multi-peptide complex,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,active-peptide concentration and carrier/excipient composition,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,Croda/Sederma manufacture or authorised trademark relationship,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,finished cosmetic ingredient versus isolated powder identity,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000016,CERT-PKS-000060,Matrixyl Supplier Product Family,"purity, residual solvents, microbiological quality and stability",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,KEDG sequence confirmation against a reference standard,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,N- and C-terminal chemistry,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,"salt, counter-ion, molecular formula and mass",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,"manufacturer, synthesis process and batch identity",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,"HPLC, LC-MS and impurity profile",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,sterility and endotoxin if supplied as an injectable vial,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,separation from Testoluten or other tissue-extract products,OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000017,CERT-PKS-000067,Testagen Supplier Product Family,"human PK, safety, efficacy and regulatory status",OPEN,P1,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,exact chemical name and catalogue-manufacturer declaration,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,"chemical structure, formula, mass and CAS",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,"relationship, if any, to SLU-PP-332",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,"reference standard, NMR, LC-MS and purity",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,"manufacturer, synthesis route and batch identity",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,"human PK, formal toxicology and clinical evidence",OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
CERT-PPS-000006,CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,current legal and anti-doping status after identity closure,OPEN,P0,"Direct manufacturer, analytical and regulatory evidence"
