Asset UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Price USD / Vial,Price USD / mg,Source,Quality Status
CERT-PKS-000068,Bronchogen,BR20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000069,Cardiogen,CA20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000070,Cortagen,COR20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000071,Livagen,LI20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000072,Pancragen,PA20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000073,Prostamax,MAX20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000074,Cartalax,LAX20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000075,Chonluten,CH20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000076,Crystagen,CRY20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000077,Ovagen,OV20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
CERT-PKS-000078,Vesugen,VE20,20 mg x 10 vials,118,11.8,0.59,Peptides.pdf,UNVERIFIED
