MPS UAI,Asset Name,Catalogue Code,Specification,Price USD / Kit,Price USD / Vial,Source,Quality Status
CERT-MPS-000001,AICAR Supplier Product Family,AR50,50 mg x 10 vials,63,6.3,Peptides.pdf,UNVERIFIED
CERT-MPS-000001,AICAR Supplier Product Family,AR100,100 mg x 10 vials,99,9.9,Peptides.pdf,UNVERIFIED
CERT-MPS-000002,Melatonin Supplier Vial Family,MT10,10 mg x 10 vials,56,5.6,Peptides.pdf,UNVERIFIED
CERT-MPS-000003,Glutathione Supplier Vial Family,GTT,"1,500 mg x 10 vials",108,10.8,Peptides.pdf,UNVERIFIED
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,5AM,5 mg x 10 vials,32,3.2,Peptides.pdf,UNVERIFIED
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,10AM,10 mg x 10 vials,42,4.2,Peptides.pdf,UNVERIFIED
CERT-MPS-000004,5-Amino-1MQ Supplier Product Family,50AM,50 mg x 10 vials,65,6.5,Peptides.pdf,UNVERIFIED
CERT-MPS-000005,NAD Supplier Product Family,NJ3100,100 mg x 10 vials,37,3.7,Peptides.pdf,UNVERIFIED
CERT-MPS-000005,NAD Supplier Product Family,NJ250,250 mg x 10 vials,56,5.6,Peptides.pdf,UNVERIFIED
CERT-MPS-000005,NAD Supplier Product Family,NJ500,500 mg x 10 vials,78,7.8,Peptides.pdf,UNVERIFIED
CERT-MPS-000005,NAD Supplier Product Family,NJ1000,"1,000 mg x 10 vials",126,12.6,Peptides.pdf,UNVERIFIED
CERT-MPS-000006,SLU-PP-322 Identity-Candidate Product Family,SLU5,5 mg x 10 vials,121,12.1,Peptides.pdf,UNVERIFIED
