Source Row,Source Code,Listed Name,Preliminary Canonical Name,Specification,Price USD / Kit,Review Segment,Final UAI,Final Asset Name,Final Build,Final Catalogue Code,Disposition,Price Check,Mapping Note
1,H06,HGH 191AA (Somatropin),Somatropin,6 IU x 10 vials,46,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H06,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
2,H10,HGH 191AA (Somatropin),Somatropin,10 IU x 10 vials,56,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
3,H12,HGH 191AA (Somatropin),Somatropin,12 IU x 10 vials,67,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H12,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
4,H15,HGH 191AA (Somatropin),Somatropin,15 IU x 10 vials,85,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H15,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
5,H24,HGH 191AA (Somatropin),Somatropin,24 IU x 10 vials,126,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H24,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
6,H36,HGH 191AA (Somatropin),Somatropin,36 IU x 10 vials,192,"C3 - GH, IGF and endocrine",CERT-PKS-000020,Somatropin,0022A,H36,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
7,MT1,MT-1,Melanotan I / afamelanotide identity candidate,10 mg x 10 vials,51,C7 - Pigmentation and sexual-health peptides,CERT-PKS-000079,Afamelanotide / Melanotan I,0026,MT1,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
8,ML10,MT-2 (Melanotan 2 Acetate),Melanotan II,10 mg x 10 vials,51,Existing assets,CERT-PKS-000009,Melanotan II,PRE-0020,ML10,COVERED - EXISTING PKS ASSET,NOT RE-TESTED - EXISTING BASELINE,Existing asset crosswalk
9,P41,PT-141,Bremelanotide,10 mg x 10 vials,66,C7 - Pigmentation and sexual-health peptides,CERT-PKS-000080,Bremelanotide / PT-141,0026,P41,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
10,GND2,Gonadorelin Acetate,Gonadorelin acetate,2 mg x 10 vials,33,"C3 - GH, IGF and endocrine",CERT-PKS-000030,Gonadorelin,0022C,GND2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
11,DS2,DSIP,Delta sleep-inducing peptide,2 mg x 10 vials,27,C4 - Neurocognitive and sleep peptides,CERT-PKS-000040,Delta Sleep-Inducing Peptide,0023A,DS2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
12,DS5,DSIP,Delta sleep-inducing peptide,5 mg x 10 vials,47,C4 - Neurocognitive and sleep peptides,CERT-PKS-000040,Delta Sleep-Inducing Peptide,0023A,DS5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
13,DS10,DSIP,Delta sleep-inducing peptide,10 mg x 10 vials,71,C4 - Neurocognitive and sleep peptides,CERT-PKS-000040,Delta Sleep-Inducing Peptide,0023A,DS10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
14,DS15,DSIP,Delta sleep-inducing peptide,15 mg x 10 vials,99,C4 - Neurocognitive and sleep peptides,CERT-PKS-000040,Delta Sleep-Inducing Peptide,0023A,DS15,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
15,SK5,Selank,Selank,5 mg x 10 vials,41,C4 - Neurocognitive and sleep peptides,CERT-PKS-000039,Selank,0023A,SK5,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
16,SK10,Selank,Selank,10 mg x 10 vials,68,C4 - Neurocognitive and sleep peptides,CERT-PKS-000039,Selank,0023A,SK10,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
17,SK30,Selank,Selank,30 mg x 10 vials,145,C4 - Neurocognitive and sleep peptides,CERT-PKS-000039,Selank,0023A,SK30,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
18,OT2,Oxytocin Acetate,Oxytocin acetate,2 mg x 10 vials,27,"C3 - GH, IGF and endocrine",CERT-PKS-000031,Oxytocin,0022C,OT2,COVERED - PEPTIDE KNOWLEDGE SYSTEM,PASS,Final build SKU mapping
