Product Passport,Parent UAI,Asset Name,Required Field,Status,Closure Priority,Closure Evidence
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,complete sequence and D-Ala stereochemistry,OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,C-terminal amidation and molecular mass,OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,"salt, counter-ion and reference standard",OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,"manufacturer, synthesis route and batch",OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,"HPLC, LC-MS and stereochemical impurity profile",OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,mu-opioid receptor potency and off-target profile,OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,"sterility, endotoxin and particulate testing",OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000018,CERT-PKS-000046,Dermorphin,"controlled-substance, legal and anti-doping status",OPEN,P0,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,exact peptide sequence,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,N-terminal and C-terminal chemistry,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,adamantane-bearing residue and linkage structure,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,"molecular formula, mass and CAS if defensible",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,"reference standard, NMR and LC-MS/MS identity",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,"manufacturer, synthesis route and batch",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,"separation from Semax, P021 and N-acetyl Semax amidate",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000019,CERT-PKS-000042,Adamax Supplier Product Family,"formal toxicology, human evidence and regulatory status",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,GVSWGLR sequence confirmation,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,free acid versus amidated C-terminus,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,"N-terminal state, salt and counter-ion",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,molecular formula and mass,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,"manufacturer, synthesis route and batch",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,"HPLC, LC-MS and impurity profile",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,TREK-1 potency against a reference standard,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000020,CERT-PKS-000043,PE 22-28 Supplier Product Family,"human PK, safety, efficacy and regulatory status",OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000021,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,exact P021 structural notation and residue count,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000021,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,adamantylated glycine structure and linkage,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
CERT-PPS-000021,CERT-PKS-000047,P021 / Peptide 021 Adamantane Conjugate Product Family,N-acetyl and C-amide terminal chemistry,OPEN,P1,"Direct manufacturer, analytical, primary and regulatory evidence"
