build_number,canonical_commit,canonical_subject,classification,run_id,workflow_name,run_attempt,status,conclusion,branch,event,created_at,updated_at,capture_status,capture_commit,workflow_present_at_commit,candidate_commit_count,selection_basis,accounted,actions_url
0001,,,BUILD_COMMIT_NOT_FOUND,,,,,,,,,,RESOLVED_EXCEPTION,,False,0,NO_MATCHING_BUILD_COMMIT,True,
0002,76b46d5a5cb16796edd0f733fc5e30bf9cfb0b36,Add Certiaura Build 0002 preservation and migration baseline,RUN_ID_VERIFIED,29357903067,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T18:27:09Z,2026-07-14T18:27:17Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29357903067
0003,87ed78c932636ba5129006692e1c21cc4096185c,Add Certiaura Build 0003 Retatrutide evidence layer,RUN_ID_VERIFIED,29368996498,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T21:17:41Z,2026-07-14T21:17:50Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29368996498
0004,9918aee5232f1af9b3cca1e3cddacd1c811f5036,Add Certiaura Build 0004 Retatrutide evidence expansion,RUN_ID_VERIFIED,29370362946,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T21:40:19Z,2026-07-14T21:40:26Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29370362946
0005,e1efdec6bd150d62e77ca8629e8a01264b3d9f6e,Add Certiaura Build 0005 evidence verification and safety expansion,RUN_ID_VERIFIED,29371025768,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T21:51:42Z,2026-07-14T21:51:49Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29371025768
0006,092447ff15702c8e4915e81bd56a82953977dbfc,Add Certiaura Build 0006 primary source closure and integrity gate,RUN_ID_VERIFIED,29371412419,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T21:58:24Z,2026-07-14T21:58:33Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29371412419
0007,868bce8c1cd0976fc8e25b80c90f47adda8725be,Add Certiaura Build 0007 Retatrutide flagship consolidation,RUN_ID_VERIFIED,29371788172,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T22:04:43Z,2026-07-14T22:04:54Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29371788172
0008,24c6cb0f68bfe7a0594fcc8ea8c64115c2b033ad,Add Certiaura Build 0008 reusable peptide flagship template,RUN_ID_VERIFIED,29372045645,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T22:09:18Z,2026-07-14T22:09:25Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29372045645
0009,4795493b2349f9aa17762a50732fd1e0b4a4af1f,Add Certiaura Build 0009 BPC-157 asset bootstrap and evidence foundation,RUN_ID_VERIFIED,29372547690,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T22:18:23Z,2026-07-14T22:18:29Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29372547690
0010,f19a4b0732fbaad816cc42c90e7612efb5947834,Add Certiaura Build 0010 BPC-157 primary source extraction and human evidence appraisal,RUN_ID_VERIFIED,29373270648,Certiaura Repository Validation,1,completed,success,main,push,2026-07-14T22:31:28Z,2026-07-14T22:31:35Z,BACKFILLED_BY_BUILD_0055,,True,1,LATEST_EXACT_ADD_SUBJECT_ON_FIRST_PARENT_MAIN,True,https://github.com/ajc1786/certiaura-knowledge-engine/actions/runs/29373270648
