Source Asset,Relationship,Target Asset
CERT-PKS-000007,ACTS_ON,CERT-BKS-000032
CERT-PKS-000007,ACTS_ON,CERT-BKS-000033
CERT-PKS-000007,ACTS_ON,CERT-BKS-000034
CERT-PKS-000007,HAS_CONDITION,CERT-CKS-000006
CERT-PKS-000007,HAS_CONDITION,CERT-CKS-000007
CERT-PKS-000007,SUPPORTS_GOAL,CERT-GKS-000007
CERT-PKS-000007,SUPPORTS_GOAL,CERT-GKS-000008
CERT-PKS-000007,HAS_MONITORING,CERT-MKS-000018
CERT-PKS-000007,HAS_MONITORING,CERT-MKS-000019
CERT-PKS-000007,HAS_MONITORING,CERT-MKS-000020
CERT-PKS-000007,HAS_SAFETY,CERT-SKS-000012
CERT-PKS-000007,HAS_EVIDENCE,CERT-EKS-000037
CERT-PKS-000007,HAS_EVIDENCE,CERT-EKS-000038
CERT-PKS-000007,HAS_EVIDENCE,CERT-EKS-000039
CERT-PKS-000008,ACTS_ON,CERT-BKS-000035
CERT-PKS-000008,ACTS_ON,CERT-BKS-000036
CERT-PKS-000008,ACTS_ON,CERT-BKS-000037
CERT-PKS-000008,HAS_CONDITION,CERT-CKS-000006
CERT-PKS-000008,HAS_CONDITION,CERT-CKS-000008
CERT-PKS-000008,SUPPORTS_GOAL,CERT-GKS-000008
CERT-PKS-000008,SUPPORTS_GOAL,CERT-GKS-000009
CERT-PKS-000008,HAS_MONITORING,CERT-MKS-000018
CERT-PKS-000008,HAS_MONITORING,CERT-MKS-000019
CERT-PKS-000008,HAS_MONITORING,CERT-MKS-000021
CERT-PKS-000008,HAS_SAFETY,CERT-SKS-000013
CERT-PKS-000008,HAS_EVIDENCE,CERT-EKS-000040
CERT-PKS-000008,HAS_EVIDENCE,CERT-EKS-000041
CERT-PKS-000008,HAS_EVIDENCE,CERT-EKS-000042
CERT-PKS-000009,ACTS_ON,CERT-BKS-000038
CERT-PKS-000009,ACTS_ON,CERT-BKS-000039
CERT-PKS-000009,ACTS_ON,CERT-BKS-000040
CERT-PKS-000009,SUPPORTS_GOAL,CERT-GKS-000010
CERT-PKS-000009,HAS_MONITORING,CERT-MKS-000022
CERT-PKS-000009,HAS_MONITORING,CERT-MKS-000023
CERT-PKS-000009,HAS_MONITORING,CERT-MKS-000024
CERT-PKS-000009,HAS_SAFETY,CERT-SKS-000014
CERT-PKS-000009,HAS_EVIDENCE,CERT-EKS-000043
CERT-PKS-000009,HAS_EVIDENCE,CERT-EKS-000044
CERT-PKS-000009,HAS_EVIDENCE,CERT-EKS-000045
CERT-PKS-000010,ACTS_ON,CERT-BKS-000041
CERT-PKS-000010,ACTS_ON,CERT-BKS-000042
CERT-PKS-000010,ACTS_ON,CERT-BKS-000043
CERT-PKS-000010,SUPPORTS_GOAL,CERT-GKS-000011
CERT-PKS-000010,SUPPORTS_GOAL,CERT-GKS-000012
CERT-PKS-000010,HAS_MONITORING,CERT-MKS-000025
CERT-PKS-000010,HAS_MONITORING,CERT-MKS-000026
CERT-PKS-000010,HAS_MONITORING,CERT-MKS-000027
CERT-PKS-000010,HAS_SAFETY,CERT-SKS-000015
CERT-PKS-000010,HAS_EVIDENCE,CERT-EKS-000046
CERT-PKS-000010,HAS_EVIDENCE,CERT-EKS-000047
CERT-PKS-000010,HAS_EVIDENCE,CERT-EKS-000048
